,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture
0,mean_area:q80-100  mean_compactness:q80-100,48,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,48,0.9260272146527198,48,,,48,0,1.0,0,0.0,0,0,q80-100,q80-100,,,,,,,,
1,mean_area:q80-100  mean_compactness:q60-80,39,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,39,0.9097488990396657,39,,,39,0,1.0,0,0.0,0,0,q80-100,q60-80,,,,,,,,
2,mean_area:q00-20  mean_compactness:q20-40,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,q00-20,q20-40,,,,,,,,
3,mean_area:q00-20  mean_compactness:q40-60,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,q00-20,q40-60,,,,,,,,
4,mean_area:q00-20  mean_compactness:q00-20,41,1.0,0.0,,,41,,,1.0,True,0.0,,,0,,0,0.9139561637059667,,0,0,,41,0.0,41,0,q00-20,q00-20,,,,,,,,
5,mean_area:q20-40  mean_compactness:q20-40,33,1.0,0.0,,,33,,,1.0,True,0.0,,,0,,0,0.8942371899254208,,0,0,,33,0.0,33,0,q20-40,q20-40,,,,,,,,
6,mean_area:q20-40  mean_compactness:q40-60,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,q20-40,q40-60,,,,,,,,
7,mean_area:q20-40  mean_compactness:q00-20,32,1.0,0.0,,0.0,31,,0.975,1.0,True,0.0,,,0,0.0,0,0.88781125307763,,1,0,0.0,32,0.0,31,1,q20-40,q00-20,,,,,,,,
8,mean_area:q40-60  mean_compactness:q20-40,31,1.0,1.0,0.9933273307566757,0.3333333333333333,28,0.5,0.9057006759492866,1.0,True,0.5577733510227171,1.0,0.6666666666666666,1,0.008403758659612647,1,0.8765638814997305,0.34000600257665775,3,0,0.3333333333333333,30,0.0,28,2,q40-60,q20-40,,,,,,,,
9,mean_area:q40-60  mean_compactness:q40-60,22,1.0,1.0,1.0,0.5,20,0.6666666666666666,0.987420882906321,1.0,True,0.6900655593423543,1.0,0.75,1,0.01257911709367899,1,0.8315665290169145,0.2600090038649865,2,0,0.5,21,0.0,20,1,q40-60,q40-60,,,,,,,,
10,mean_area:q40-60  mean_compactness:q00-20,29,1.0,0.0,,0.0,28,,0.975,1.0,True,0.0,,,0,0.0,0,0.8765638814997305,,1,0,0.0,29,0.0,28,1,q40-60,q00-20,,,,,,,,
11,mean_area:q60-80  mean_compactness:q80-100,36,0.6,1.0,1.0,1.0,3,0.96875,1.0,0.9472550494736843,True,0.7507571935295484,0.9393939393939394,0.8,33,0.88781125307763,31,0.14663279963467257,0.5599544161822343,31,2,1.0,3,0.0,5,0,q60-80,q80-100,,,,,,,,
12,mean_area:q60-80  mean_compactness:q60-80,26,0.9,1.0,1.0,0.9375,9,0.9375,0.9984188882772308,0.9974714214555375,True,0.8375,0.9375,0.9187500000000001,16,0.697679261565439,15,0.5549838829718046,0.8031858546896167,16,1,0.9375,10,0.5782931394955853,10,1,q60-80,q60-80,,,,,,,,
13,mean_area:q60-80  mean_compactness:q40-60,24,0.7692307692307693,1.0,0.9879676833205159,0.9090909090909091,10,0.8333333333333333,0.9977010277861846,0.9496189265086185,True,0.6783216783216783,0.7692307692307693,0.8391608391608392,13,0.5872200830116173,10,0.46186846076595905,0.6903539950011627,11,3,0.9090909090909091,11,0.4210943874870861,13,1,q60-80,q40-60,,,,,,,,
14,mean_area:q80-100  mean_concave_points:q80-100,77,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,77,0.9532219318395959,77,,,77,0,1.0,0,0.0,0,0,q80-100,,q80-100,,,,,,,
15,mean_area:q80-100  mean_concave_points:q60-80,32,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,32,0.8911188393205571,32,,,32,0,1.0,0,0.0,0,0,q80-100,,q60-80,,,,,,,
16,mean_area:q00-20  mean_concave_points:q20-40,30,1.0,0.0,,,30,,,1.0,True,0.0,,,0,,0,0.8842966917779725,,0,0,,30,0.0,30,0,q00-20,,q20-40,,,,,,,
17,mean_area:q00-20  mean_concave_points:q00-20,60,1.0,0.0,,,60,,,1.0,True,0.0,,,0,,0,0.9403705077136653,,0,0,,60,0.0,60,0,q00-20,,q00-20,,,,,,,
18,mean_area:q20-40  mean_concave_points:q40-60,33,1.0,1.0,1.0,0.5,31,0.6666666666666666,0.987420882906321,1.0,True,0.6959705453537528,1.0,0.75,1,0.01257911709367899,1,0.88781125307763,0.2600090038649865,2,0,0.5,32,0.0,31,1,q20-40,,q40-60,,,,,,,
19,mean_area:q20-40  mean_concave_points:q20-40,42,1.0,0.0,,,42,,,1.0,True,0.0,,,0,,0,0.9159161450596448,,0,0,,42,0.0,42,0,q20-40,,q20-40,,,,,,,
20,mean_area:q20-40  mean_concave_points:q00-20,29,1.0,0.0,,,29,,,1.0,True,0.0,,,0,,0,0.8805551309302788,,0,0,,29,0.0,29,0,q20-40,,q00-20,,,,,,,
21,mean_area:q40-60  mean_concave_points:q60-80,22,0.8571428571428571,0.9301796827334212,1.0,0.8,6,0.8571428571428571,0.956687994894164,0.9963897031380992,True,0.6225317562548818,0.9230769230769231,0.8285714285714286,13,0.519108866193147,12,0.42127680295680187,0.6537146977087774,15,1,0.8,9,0.23872379361468374,7,3,q40-60,,q60-80,,,,,,,
22,mean_area:q40-60  mean_concave_points:q40-60,34,1.0,1.0,1.0,0.6666666666666666,31,0.8,0.9915962413403874,1.0,True,0.8036375634160796,1.0,0.8333333333333333,2,0.09429932405071303,2,0.88781125307763,0.5066726692433243,3,0,0.6666666666666666,32,0.0,31,1,q40-60,,q40-60,,,,,,,
23,mean_area:q40-60  mean_concave_points:q20-40,32,1.0,0.0,,0.0,30,,0.841886116991607,1.0,True,0.0,,,0,0.0,0,0.8842966917779725,,2,0,0.0,32,0.0,30,2,q40-60,,q20-40,,,,,,,
24,mean_area:q40-60  mean_concave_points:q00-20,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,q40-60,,q00-20,,,,,,,
25,mean_area:q60-80  mean_concave_points:q80-100,30,1.0,1.0,,1.0,1,1.0,1.0,1.0,True,1.0,1.0,1.0,29,0.8805551309302788,29,0.025000000000000022,,29,0,1.0,1,0.0,1,0,q60-80,,q80-100,,,,,,,
26,mean_area:q60-80  mean_concave_points:q60-80,42,0.6153846153846154,0.808549107142857,0.9047068687282713,0.896551724137931,8,0.8666666666666666,0.9781362631701468,0.8614206611098402,True,0.5382814881567385,0.8387096774193549,0.7559681697612732,31,0.7264848021076974,26,0.31577760291405943,0.6072294707942751,29,5,0.896551724137931,11,0.25437861144266666,13,3,q60-80,,q60-80,,,,,,,
27,mean_area:q60-80  mean_concave_points:q40-60,29,0.9545454545454546,1.0,1.0,0.8571428571428571,21,0.8571428571428571,0.9963897031380992,0.9988498524734183,True,0.8116883116883117,0.8571428571428571,0.9058441558441559,7,0.42127680295680187,6,0.771555602332364,0.758930901524183,7,1,0.8571428571428571,22,0.5443887859100558,22,1,q60-80,,q40-60,,,,,,,
28,mean_area:q80-100  mean_concavity:q80-100,65,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,65,0.9448283656811836,65,,,65,0,1.0,0,0.0,0,0,q80-100,,,q80-100,,,,,,
29,mean_area:q80-100  mean_concavity:q60-80,41,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,41,0.9139561637059667,41,,,41,0,1.0,0,0.0,0,0,q80-100,,,q60-80,,,,,,
30,mean_area:q00-20  mean_concavity:q20-40,25,1.0,0.0,,,25,,,1.0,True,0.0,,,0,,0,0.8628148284692875,,0,0,,25,0.0,25,0,q00-20,,,q20-40,,,,,,
31,mean_area:q00-20  mean_concavity:q40-60,21,1.0,0.0,,,21,,,1.0,True,0.0,,,0,,0,0.8389023847809204,,0,0,,21,0.0,21,0,q00-20,,,q40-60,,,,,,
32,mean_area:q00-20  mean_concavity:q00-20,51,1.0,0.0,,,51,,,1.0,True,0.0,,,0,,0,0.9302229692504608,,0,0,,51,0.0,51,0,q00-20,,,q00-20,,,,,,
33,mean_area:q20-40  mean_concavity:q20-40,41,1.0,0.0,,0.0,40,,0.975,1.0,True,0.0,,,0,0.0,0,0.9119026971211966,,1,0,0.0,41,0.0,40,1,q20-40,,,q20-40,,,,,,
