,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture
22,mean_area:q40-60  mean_compactness:q20-40  mean_perimeter:q40-60,30,1.0,1.0,0.9933273307566757,0.3333333333333333,27,0.5,0.9057006759492866,1.0,True,0.5570860145311556,1.0,0.6666666666666666,1,0.008403758659612647,1,0.8722971323845661,0.34000600257665764,3,0,0.3333333333333333,29,0.0,27,2,q40-60,q20-40,,,,q40-60,,,,
23,mean_area:q40-60  mean_compactness:q40-60  mean_perimeter:q40-60,22,1.0,1.0,1.0,0.5,20,0.6666666666666666,0.987420882906321,1.0,True,0.6900655593423543,1.0,0.75,1,0.01257911709367899,1,0.8315665290169145,0.2600090038649865,2,0,0.5,21,0.0,20,1,q40-60,q40-60,,,,q40-60,,,,
24,mean_area:q40-60  mean_compactness:q00-20  mean_perimeter:q40-60,23,1.0,0.0,,,23,,,1.0,True,0.0,,,0,,0,0.8518148710847749,,0,0,,23,0.0,23,0,q40-60,q00-20,,,,q40-60,,,,
25,mean_area:q60-80  mean_compactness:q80-100  mean_perimeter:q60-80,33,0.6,1.0,1.0,1.0,3,0.9655172413793104,1.0,0.9472550494736843,True,0.7483314773547882,0.9333333333333333,0.8,30,0.8765638814997305,28,0.14663279963467257,0.5599544161822347,28,2,1.0,3,0.0,5,0,q60-80,q80-100,,,,q60-80,,,,
26,mean_area:q60-80  mean_compactness:q60-80  mean_perimeter:q60-80,26,0.9,1.0,1.0,0.9375,9,0.9375,0.9984188882772308,0.9974714214555375,True,0.8375,0.9375,0.9187500000000001,16,0.697679261565439,15,0.5549838829718046,0.8031858546896167,16,1,0.9375,10,0.579123061058726,10,1,q60-80,q60-80,,,,q60-80,,,,
27,mean_area:q60-80  mean_compactness:q40-60  mean_perimeter:q60-80,24,0.7692307692307693,0.9419030029806548,0.9879676833205159,0.9090909090909091,10,0.8333333333333333,0.9977010277861846,0.9496189265086185,True,0.6783216783216783,0.7692307692307693,0.8391608391608392,13,0.5872200830116173,10,0.46186846076595905,0.6903539950011627,11,3,0.9090909090909091,11,0.4826253771828798,13,1,q60-80,q40-60,,,,q60-80,,,,
28,mean_area:q80-100  mean_compactness:q80-100  mean_radius:q80-100,47,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,47,0.9245142663089414,47,,,47,0,1.0,0,0.0,0,0,q80-100,q80-100,,,,,q80-100,,,
29,mean_area:q80-100  mean_compactness:q60-80  mean_radius:q80-100,39,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,39,0.9097488990396657,39,,,39,0,1.0,0,0.0,0,0,q80-100,q60-80,,,,,q80-100,,,
30,mean_area:q00-20  mean_compactness:q20-40  mean_radius:q00-20,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,q00-20,q20-40,,,,,q00-20,,,
31,mean_area:q00-20  mean_compactness:q40-60  mean_radius:q00-20,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,q00-20,q40-60,,,,,q00-20,,,
32,mean_area:q00-20  mean_compactness:q00-20  mean_radius:q00-20,40,1.0,0.0,,,40,,,1.0,True,0.0,,,0,,0,0.9119026971211966,,0,0,,40,0.0,40,0,q00-20,q00-20,,,,,q00-20,,,
33,mean_area:q20-40  mean_compactness:q20-40  mean_radius:q20-40,33,1.0,0.0,,,33,,,1.0,True,0.0,,,0,,0,0.8942371899254208,,0,0,,33,0.0,33,0,q20-40,q20-40,,,,,q20-40,,,
34,mean_area:q20-40  mean_compactness:q40-60  mean_radius:q20-40,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,q20-40,q40-60,,,,,q20-40,,,
35,mean_area:q20-40  mean_compactness:q00-20  mean_radius:q20-40,30,1.0,0.0,,0.0,29,,0.975,1.0,True,0.0,,,0,0.0,0,0.8805551309302788,,1,0,0.0,30,0.0,29,1,q20-40,q00-20,,,,,q20-40,,,
36,mean_area:q40-60  mean_compactness:q20-40  mean_radius:q40-60,31,1.0,1.0,0.9933273307566757,0.3333333333333333,28,0.5,0.9057006759492866,1.0,True,0.5577733510227171,1.0,0.6666666666666666,1,0.008403758659612647,1,0.8765638814997305,0.34000600257665775,3,0,0.3333333333333333,30,0.0,28,2,q40-60,q20-40,,,,,q40-60,,,
37,mean_area:q40-60  mean_compactness:q40-60  mean_radius:q40-60,22,1.0,1.0,1.0,0.5,20,0.6666666666666666,0.987420882906321,1.0,True,0.6900655593423543,1.0,0.75,1,0.01257911709367899,1,0.8315665290169145,0.2600090038649865,2,0,0.5,21,0.0,20,1,q40-60,q40-60,,,,,q40-60,,,
38,mean_area:q40-60  mean_compactness:q00-20  mean_radius:q40-60,27,1.0,0.0,,0.0,26,,0.975,1.0,True,0.0,,,0,0.0,0,0.8677253955022459,,1,0,0.0,27,0.0,26,1,q40-60,q00-20,,,,,q40-60,,,
39,mean_area:q60-80  mean_compactness:q80-100  mean_radius:q60-80,35,0.6,1.0,1.0,1.0,3,0.967741935483871,1.0,0.9472550494736843,True,0.75,0.9375,0.8,32,0.8842966917779725,30,0.14663279963467257,0.5599544161822343,30,2,1.0,3,0.4882590840519967,5,0,q60-80,q80-100,,,,,q60-80,,,
40,mean_area:q60-80  mean_compactness:q60-80  mean_radius:q60-80,26,0.9,1.0,1.0,0.9375,9,0.9375,0.9984188882772308,0.9974714214555375,True,0.8375,0.9375,0.9187500000000001,16,0.697679261565439,15,0.5549838829718046,0.8031858546896167,16,1,0.9375,10,0.69244671476581,10,1,q60-80,q60-80,,,,,q60-80,,,
41,mean_area:q60-80  mean_compactness:q40-60  mean_radius:q60-80,24,0.7692307692307693,0.9198662110077999,0.9879676833205159,0.9090909090909091,10,0.8333333333333333,0.9977010277861846,0.9496189265086185,True,0.6783216783216783,0.7692307692307693,0.8391608391608392,13,0.5872200830116173,10,0.46186846076595905,0.6903539950011627,11,3,0.9090909090909091,11,0.45568837176573296,13,1,q60-80,q40-60,,,,,q60-80,,,
42,mean_area:q80-100  mean_compactness:q80-100  mean_smoothness:q80-100,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,q80-100,q80-100,,,,,,q80-100,,
43,mean_area:q00-20  mean_compactness:q00-20  mean_smoothness:q00-20,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,q00-20,q00-20,,,,,,q00-20,,
44,mean_area:q40-60  mean_compactness:q00-20  mean_smoothness:q00-20,21,1.0,0.0,,,21,,,1.0,True,0.0,,,0,,0,0.8389023847809204,,0,0,,21,0.0,21,0,q40-60,q00-20,,,,,,q00-20,,
45,mean_area:q80-100  mean_compactness:q80-100  mean_symmetry:q80-100,21,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,21,0.8389023847809204,21,,,21,0,1.0,0,0.0,0,0,q80-100,q80-100,,,,,,,q80-100,
46,mean_area:q80-100  mean_compactness:q80-100  mean_texture:q80-100,22,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,22,0.8456274871844254,22,,,22,0,1.0,0,0.0,0,0,q80-100,q80-100,,,,,,,,q80-100
47,mean_area:q80-100  mean_concave_points:q80-100  mean_concavity:q80-100,60,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,60,0.9403705077136653,60,,,60,0,1.0,0,0.0,0,0,q80-100,,q80-100,q80-100,,,,,,
48,mean_area:q80-100  mean_concave_points:q60-80  mean_concavity:q60-80,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,q80-100,,q60-80,q60-80,,,,,,
49,mean_area:q00-20  mean_concave_points:q00-20  mean_concavity:q00-20,44,1.0,0.0,,,44,,,1.0,True,0.0,,,0,,0,0.9195800602362292,,0,0,,44,0.0,44,0,q00-20,,q00-20,q00-20,,,,,,
50,mean_area:q20-40  mean_concave_points:q20-40  mean_concavity:q20-40,23,1.0,0.0,,,23,,,1.0,True,0.0,,,0,,0,0.8518148710847749,,0,0,,23,0.0,23,0,q20-40,,q20-40,q20-40,,,,,,
51,mean_area:q20-40  mean_concave_points:q00-20  mean_concavity:q00-20,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,q20-40,,q00-20,q00-20,,,,,,
52,mean_area:q40-60  mean_concave_points:q20-40  mean_concavity:q20-40,20,1.0,0.0,,0.0,19,,0.975,1.0,True,0.0,,,0,0.0,0,0.823533088192828,,1,0,0.0,20,0.0,19,1,q40-60,,q20-40,q20-40,,,,,,
53,mean_area:q60-80  mean_concave_points:q80-100  mean_concavity:q80-100,26,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,26,0.8677253955022459,26,,,26,0,1.0,0,0.0,0,0,q60-80,,q80-100,q80-100,,,,,,
54,mean_area:q60-80  mean_concave_points:q60-80  mean_concavity:q60-80,25,0.6,0.8461141122266493,0.9993410882351452,0.9,3,0.9,0.9876514728297041,0.9472550494736843,True,0.5,0.9,0.75,20,0.6830172859809209,18,0.14663279963467257,0.5006589117648548,20,2,0.9,5,-0.0207289049397212,5,2,q60-80,,q60-80,q60-80,,,,,,
55,mean_area:q80-100  mean_concave_points:q80-100  mean_fractal_dimension:q00-20,20,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,20,0.8315665290169145,20,,,20,0,1.0,0,0.0,0,0,q80-100,,q80-100,,q00-20,,,,,
56,mean_area:q80-100  mean_concave_points:q80-100  mean_fractal_dimension:q40-60,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,q80-100,,q80-100,,q40-60,,,,,
57,mean_area:q80-100  mean_concave_points:q60-80  mean_fractal_dimension:q00-20,20,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,20,0.8315665290169145,20,,,20,0,1.0,0,0.0,0,0,q80-100,,q60-80,,q00-20,,,,,
58,mean_area:q00-20  mean_concave_points:q00-20  mean_fractal_dimension:q60-80,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,q00-20,,q00-20,,q60-80,,,,,
59,mean_area:q80-100  mean_concave_points:q80-100  mean_perimeter:q80-100,76,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,76,0.952621246133547,76,,,76,0,1.0,0,0.0,0,0,q80-100,,q80-100,,,q80-100,,,,
60,mean_area:q80-100  mean_concave_points:q60-80  mean_perimeter:q80-100,30,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,30,0.8842966917779725,30,,,30,0,1.0,0,0.0,0,0,q80-100,,q60-80,,,q80-100,,,,
61,mean_area:q00-20  mean_concave_points:q20-40  mean_perimeter:q00-20,29,1.0,0.0,,,29,,,1.0,True,0.0,,,0,,0,0.8805551309302788,,0,0,,29,0.0,29,0,q00-20,,q20-40,,,q00-20,,,,
62,mean_area:q00-20  mean_concave_points:q00-20  mean_perimeter:q00-20,60,1.0,0.0,,,60,,,1.0,True,0.0,,,0,,0,0.9403705077136653,,0,0,,60,0.0,60,0,q00-20,,q00-20,,,q00-20,,,,
63,mean_area:q20-40  mean_concave_points:q40-60  mean_perimeter:q20-40,31,1.0,1.0,1.0,0.5,29,0.6666666666666666,0.987420882906321,1.0,True,0.695221787153807,1.0,0.75,1,0.01257911709367899,1,0.8805551309302788,0.2600090038649865,2,0,0.5,30,0.0,29,1,q20-40,,q40-60,,,q20-40,,,,
64,mean_area:q20-40  mean_concave_points:q20-40  mean_perimeter:q20-40,39,1.0,0.0,,,39,,,1.0,True,0.0,,,0,,0,0.9097488990396657,,0,0,,39,0.0,39,0,q20-40,,q20-40,,,q20-40,,,,
65,mean_area:q20-40  mean_concave_points:q00-20  mean_perimeter:q20-40,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,q20-40,,q00-20,,,q20-40,,,,
66,mean_area:q40-60  mean_concave_points:q40-60  mean_perimeter:q40-60,33,1.0,1.0,1.0,0.6666666666666666,30,0.8,0.9915962413403874,1.0,True,0.8032193289024988,1.0,0.8333333333333333,2,0.09429932405071303,2,0.8842966917779725,0.5066726692433243,3,0,0.6666666666666666,31,0.0,30,1,q40-60,,q40-60,,,q40-60,,,,
67,mean_area:q40-60  mean_concave_points:q20-40  mean_perimeter:q40-60,30,1.0,0.0,,0.0,29,,0.975,1.0,True,0.0,,,0,0.0,0,0.8805551309302788,,1,0,0.0,30,0.0,29,1,q40-60,,q20-40,,,q40-60,,,,
68,mean_area:q60-80  mean_concave_points:q80-100  mean_perimeter:q60-80,27,1.0,1.0,,1.0,1,1.0,1.0,1.0,True,1.0,1.0,1.0,26,0.8677253955022459,26,0.025000000000000022,,26,0,1.0,1,0.0,1,0,q60-80,,q80-100,,,q60-80,,,,
69,mean_area:q60-80  mean_concave_points:q60-80  mean_perimeter:q60-80,42,0.6153846153846154,0.7620167195202924,0.9047068687282713,0.896551724137931,8,0.8666666666666666,0.9781362631701468,0.8614206611098402,True,0.5382814881567385,0.8387096774193549,0.7559681697612732,31,0.7264848021076974,26,0.31577760291405943,0.6072294707942751,29,5,0.896551724137931,11,0.18691521213403942,13,3,q60-80,,q60-80,,,q60-80,,,,
70,mean_area:q60-80  mean_concave_points:q40-60  mean_perimeter:q60-80,28,0.9523809523809523,1.0,1.0,0.8571428571428571,20,0.8571428571428571,0.9963897031380992,0.9987951165516293,True,0.8095238095238095,0.8571428571428571,0.9047619047619048,7,0.42127680295680187,6,0.761840090063179,0.7571916589751044,7,1,0.8571428571428571,21,0.5275132549162831,21,1,q60-80,,q40-60,,,q60-80,,,,
71,mean_area:q80-100  mean_concave_points:q80-100  mean_radius:q80-100,75,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,75,0.9520049359447202,75,,,75,0,1.0,0,0.0,0,0,q80-100,,q80-100,,,,q80-100,,,
72,mean_area:q80-100  mean_concave_points:q60-80  mean_radius:q80-100,32,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,32,0.8911188393205571,32,,,32,0,1.0,0,0.0,0,0,q80-100,,q60-80,,,,q80-100,,,
73,mean_area:q00-20  mean_concave_points:q20-40  mean_radius:q00-20,29,1.0,0.0,,,29,,,1.0,True,0.0,,,0,,0,0.8805551309302788,,0,0,,29,0.0,29,0,q00-20,,q20-40,,,,q00-20,,,
74,mean_area:q00-20  mean_concave_points:q00-20  mean_radius:q00-20,60,1.0,0.0,,,60,,,1.0,True,0.0,,,0,,0,0.9403705077136653,,0,0,,60,0.0,60,0,q00-20,,q00-20,,,,q00-20,,,
75,mean_area:q20-40  mean_concave_points:q40-60  mean_radius:q20-40,32,1.0,1.0,1.0,0.5,30,0.6666666666666666,0.987420882906321,1.0,True,0.6956083436402525,1.0,0.75,1,0.01257911709367899,1,0.8842966917779725,0.2600090038649865,2,0,0.5,31,0.0,30,1,q20-40,,q40-60,,,,q20-40,,,
76,mean_area:q20-40  mean_concave_points:q20-40  mean_radius:q20-40,41,1.0,0.0,,,41,,,1.0,True,0.0,,,0,,0,0.9139561637059667,,0,0,,41,0.0,41,0,q20-40,,q20-40,,,,q20-40,,,
77,mean_area:q20-40  mean_concave_points:q00-20  mean_radius:q20-40,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,q20-40,,q00-20,,,,q20-40,,,
78,mean_area:q40-60  mean_concave_points:q60-80  mean_radius:q40-60,21,0.8571428571428571,0.9067206798038655,1.0,0.7857142857142857,6,0.8461538461538461,0.9534207121102133,0.9963897031380992,True,0.6123724356957946,0.9166666666666666,0.8214285714285714,12,0.4920243229515283,11,0.42127680295680187,0.6424389512804156,14,1,0.7857142857142857,9,0.318845280928557,7,3,q40-60,,q60-80,,,,q40-60,,,
79,mean_area:q40-60  mean_concave_points:q40-60  mean_radius:q40-60,33,1.0,1.0,1.0,0.6666666666666666,30,0.8,0.9915962413403874,1.0,True,0.8032193289024988,1.0,0.8333333333333333,2,0.09429932405071303,2,0.8842966917779725,0.5066726692433243,3,0,0.6666666666666666,31,0.0,30,1,q40-60,,q40-60,,,,q40-60,,,
80,mean_area:q40-60  mean_concave_points:q20-40  mean_radius:q40-60,31,1.0,0.0,,0.0,29,,0.841886116991607,1.0,True,0.0,,,0,0.0,0,0.8805551309302788,,2,0,0.0,31,0.0,29,2,q40-60,,q20-40,,,,q40-60,,,
81,mean_area:q40-60  mean_concave_points:q00-20  mean_radius:q40-60,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,q40-60,,q00-20,,,,q40-60,,,
82,mean_area:q60-80  mean_concave_points:q80-100  mean_radius:q60-80,29,1.0,1.0,,1.0,1,1.0,1.0,1.0,True,1.0,1.0,1.0,28,0.8765638814997305,28,0.025000000000000022,,28,0,1.0,1,0.0,1,0,q60-80,,q80-100,,,,q60-80,,,
83,mean_area:q60-80  mean_concave_points:q60-80  mean_radius:q60-80,42,0.6153846153846154,0.7127685207746527,0.9047068687282713,0.896551724137931,8,0.8666666666666666,0.9781362631701468,0.8614206611098402,True,0.5382814881567385,0.8387096774193549,0.7559681697612732,31,0.7264848021076974,26,0.31577760291405943,0.6072294707942751,29,5,0.896551724137931,11,0.08420069303194523,13,3,q60-80,,q60-80,,,,q60-80,,,
84,mean_area:q60-80  mean_concave_points:q40-60  mean_radius:q60-80,28,0.9523809523809523,1.0,1.0,0.8571428571428571,20,0.8571428571428571,0.9963897031380992,0.9987951165516293,True,0.8095238095238095,0.8571428571428571,0.9047619047619048,7,0.42127680295680187,6,0.761840090063179,0.7571916589751044,7,1,0.8571428571428571,21,0.4952682885216836,21,1,q60-80,,q40-60,,,,q60-80,,,
85,mean_area:q80-100  mean_concave_points:q80-100  mean_smoothness:q80-100,26,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,26,0.8677253955022459,26,,,26,0,1.0,0,0.0,0,0,q80-100,,q80-100,,,,,q80-100,,
86,mean_area:q80-100  mean_concave_points:q80-100  mean_smoothness:q60-80,27,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,27,0.8722971323845661,27,,,27,0,1.0,0,0.0,0,0,q80-100,,q80-100,,,,,q60-80,,
87,mean_area:q00-20  mean_concave_points:q00-20  mean_smoothness:q00-20,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,q00-20,,q00-20,,,,,q00-20,,
88,mean_area:q80-100  mean_concave_points:q80-100  mean_symmetry:q80-100,26,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,26,0.8677253955022459,26,,,26,0,1.0,0,0.0,0,0,q80-100,,q80-100,,,,,,q80-100,
89,mean_area:q80-100  mean_concave_points:q80-100  mean_symmetry:q40-60,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,q80-100,,q80-100,,,,,,q40-60,
90,mean_area:q80-100  mean_concave_points:q80-100  mean_texture:q60-80,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,q80-100,,q80-100,,,,,,,q60-80
91,mean_area:q80-100  mean_concave_points:q80-100  mean_texture:q80-100,28,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,28,0.8765638814997305,28,,,28,0,1.0,0,0.0,0,0,q80-100,,q80-100,,,,,,,q80-100
92,mean_area:q80-100  mean_concavity:q80-100  mean_fractal_dimension:q40-60,21,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,21,0.8389023847809204,21,,,21,0,1.0,0,0.0,0,0,q80-100,,,q80-100,q40-60,,,,,
93,mean_area:q80-100  mean_concavity:q60-80  mean_fractal_dimension:q00-20,26,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,26,0.8677253955022459,26,,,26,0,1.0,0,0.0,0,0,q80-100,,,q60-80,q00-20,,,,,
94,mean_area:q80-100  mean_concavity:q80-100  mean_perimeter:q80-100,64,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,64,0.9439909106133634,64,,,64,0,1.0,0,0.0,0,0,q80-100,,,q80-100,,q80-100,,,,
95,mean_area:q80-100  mean_concavity:q60-80  mean_perimeter:q80-100,39,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,39,0.9097488990396657,39,,,39,0,1.0,0,0.0,0,0,q80-100,,,q60-80,,q80-100,,,,
96,mean_area:q00-20  mean_concavity:q20-40  mean_perimeter:q00-20,25,1.0,0.0,,,25,,,1.0,True,0.0,,,0,,0,0.8628148284692875,,0,0,,25,0.0,25,0,q00-20,,,q20-40,,q00-20,,,,
97,mean_area:q00-20  mean_concavity:q40-60  mean_perimeter:q00-20,21,1.0,0.0,,,21,,,1.0,True,0.0,,,0,,0,0.8389023847809204,,0,0,,21,0.0,21,0,q00-20,,,q40-60,,q00-20,,,,
98,mean_area:q00-20  mean_concavity:q00-20  mean_perimeter:q00-20,51,1.0,0.0,,,51,,,1.0,True,0.0,,,0,,0,0.9302229692504608,,0,0,,51,0.0,51,0,q00-20,,,q00-20,,q00-20,,,,
