,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,degree,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,specificity_CI_diff,sensitivity_CI_diff,phi_CI_diff,AUC_CI_diff
11,mean_area:q60-80  mean_compactness:q80-100,36,0.6,1.0,1.0,1.0,3,0.96875,1.0,0.9472550494736843,True,0.7507571935295484,0.9393939393939394,0.8,33,0.88781125307763,31,0.14663279963467257,0.5599544161822343,31,2,1.0,3,0.0,5,0,2,q60-80,q80-100,,,,,,,,,-0.47659545109406404,-1.4763171062017504,-0.32571603245855674,-0.4258582246656839
12,mean_area:q60-80  mean_compactness:q60-80,26,0.9,1.0,1.0,0.9375,9,0.9375,0.9984188882772308,0.9974714214555375,True,0.8375,0.9375,0.9187500000000001,16,0.697679261565439,15,0.5549838829718046,0.8031858546896167,16,1,0.9375,10,0.5782931394955853,10,1,2,q60-80,q60-80,,,,,,,,,-0.6339815956402668,-0.5454720293287927,-0.7723754649591404,-0.8749696537089029
13,mean_area:q60-80  mean_compactness:q40-60,24,0.7692307692307693,1.0,0.9879676833205159,0.9090909090909091,10,0.8333333333333333,0.9977010277861846,0.9496189265086185,True,0.6783216783216783,0.7692307692307693,0.8391608391608392,13,0.5872200830116173,10,0.46186846076595905,0.6903539950011627,11,3,0.9090909090909091,11,0.4210943874870861,13,1,2,q60-80,q40-60,,,,,,,,,-0.47703995607191013,-0.5012911325133483,-0.5626409995313196,-0.5381946267064218
14,mean_area:q80-100  mean_concave_points:q80-100,77,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,77,0.9532219318395959,77,,,77,0,1.0,0,0.0,0,0,2,q80-100,,q80-100,,,,,,,,,-0.6926306965107563,,
15,mean_area:q80-100  mean_concave_points:q60-80,32,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,32,0.8911188393205571,32,,,32,0,1.0,0,0.0,0,0,2,q80-100,,q60-80,,,,,,,,,-1.7024437371910335,,
16,mean_area:q00-20  mean_concave_points:q20-40,30,1.0,0.0,,,30,,,1.0,True,0.0,,,0,,0,0.8842966917779725,,0,0,,30,0.0,30,0,2,q00-20,,q20-40,,,,,,,,-0.4287793501702123,,,
17,mean_area:q00-20  mean_concave_points:q00-20,60,1.0,0.0,,,60,,,1.0,True,0.0,,,0,,0,0.9403705077136653,,0,0,,60,0.0,60,0,2,q00-20,,q00-20,,,,,,,,-0.5481682431075893,,,
18,mean_area:q20-40  mean_concave_points:q40-60,33,1.0,1.0,1.0,0.5,31,0.6666666666666666,0.987420882906321,1.0,True,0.6959705453537528,1.0,0.75,1,0.01257911709367899,1,0.88781125307763,0.2600090038649865,2,0,0.5,32,0.0,31,1,2,q20-40,,q40-60,,,,,,,,-0.6335405681200744,-0.7843763103085292,-0.44528852201174596,-0.5044183141656551
19,mean_area:q20-40  mean_concave_points:q20-40,42,1.0,0.0,,,42,,,1.0,True,0.0,,,0,,0,0.9159161450596448,,0,0,,42,0.0,42,0,2,q20-40,,q20-40,,,,,,,,-0.5900203950826989,,,
20,mean_area:q20-40  mean_concave_points:q00-20,29,1.0,0.0,,,29,,,1.0,True,0.0,,,0,,0,0.8805551309302788,,0,0,,29,0.0,29,0,2,q20-40,,q00-20,,,,,,,,-0.2811301186914418,,,
21,mean_area:q40-60  mean_concave_points:q60-80,22,0.8571428571428571,0.9301796827334212,1.0,0.8,6,0.8571428571428571,0.956687994894164,0.9963897031380992,True,0.6225317562548818,0.9230769230769231,0.8285714285714286,13,0.519108866193147,12,0.42127680295680187,0.6537146977087774,15,1,0.8,9,0.23872379361468374,7,3,2,q40-60,,q60-80,,,,,,,,-0.6102980170981076,-1.0072234628853718,-0.45387101215489306,-0.659509721849236
22,mean_area:q40-60  mean_concave_points:q40-60,34,1.0,1.0,1.0,0.6666666666666666,31,0.8,0.9915962413403874,1.0,True,0.8036375634160796,1.0,0.8333333333333333,2,0.09429932405071303,2,0.88781125307763,0.5066726692433243,3,0,0.6666666666666666,32,0.0,31,1,2,q40-60,,q40-60,,,,,,,,-0.6335405681200744,-0.556752072544547,-0.35969586764176664,-0.4654839158098924
23,mean_area:q40-60  mean_concave_points:q20-40,32,1.0,0.0,,0.0,30,,0.841886116991607,1.0,True,0.0,,,0,0.0,0,0.8842966917779725,,2,0,0.0,32,0.0,30,2,2,q40-60,,q20-40,,,,,,,,-0.5216573449992533,-0.992505562115389,,
24,mean_area:q40-60  mean_concave_points:q00-20,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,2,q40-60,,q00-20,,,,,,,,-0.39098593055125586,,,
25,mean_area:q60-80  mean_concave_points:q80-100,30,1.0,1.0,,1.0,1,1.0,1.0,1.0,True,1.0,1.0,1.0,29,0.8805551309302788,29,0.025000000000000022,,29,0,1.0,1,0.0,1,0,2,q60-80,,q80-100,,,,,,,,-1.0,-1.38663274106949,-1.0,
26,mean_area:q60-80  mean_concave_points:q60-80,42,0.6153846153846154,0.808549107142857,0.9047068687282713,0.896551724137931,8,0.8666666666666666,0.9781362631701468,0.8614206611098402,True,0.5382814881567385,0.8387096774193549,0.7559681697612732,31,0.7264848021076974,26,0.31577760291405943,0.6072294707942751,29,5,0.896551724137931,11,0.25437861144266666,13,3,2,q60-80,,q60-80,,,,,,,,-0.39590207795224747,-0.6497093741346527,-0.34682685230539717,-0.40131818455571977
27,mean_area:q60-80  mean_concave_points:q40-60,29,0.9545454545454546,1.0,1.0,0.8571428571428571,21,0.8571428571428571,0.9963897031380992,0.9988498524734183,True,0.8116883116883117,0.8571428571428571,0.9058441558441559,7,0.42127680295680187,6,0.771555602332364,0.758930901524183,7,1,0.8571428571428571,22,0.5443887859100558,22,1,2,q60-80,,q40-60,,,,,,,,-1.2402750467369308,-0.8769849885606388,-0.7894798383315418,-0.9525730968778455
28,mean_area:q80-100  mean_concavity:q80-100,65,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,65,0.9448283656811836,65,,,65,0,1.0,0,0.0,0,0,2,q80-100,,,q80-100,,,,,,,,-0.9324189898519523,,
29,mean_area:q80-100  mean_concavity:q60-80,41,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,41,0.9139561637059667,41,,,41,0,1.0,0,0.0,0,0,2,q80-100,,,q60-80,,,,,,,,-1.4480386205450968,,
30,mean_area:q00-20  mean_concavity:q20-40,25,1.0,0.0,,,25,,,1.0,True,0.0,,,0,,0,0.8628148284692875,,0,0,,25,0.0,25,0,2,q00-20,,,q20-40,,,,,,,-0.3681923716182268,,,
31,mean_area:q00-20  mean_concavity:q40-60,21,1.0,0.0,,,21,,,1.0,True,0.0,,,0,,0,0.8389023847809204,,0,0,,21,0.0,21,0,2,q00-20,,,q40-60,,,,,,,-0.654143127172293,,,
32,mean_area:q00-20  mean_concavity:q00-20,51,1.0,0.0,,,51,,,1.0,True,0.0,,,0,,0,0.9302229692504608,,0,0,,51,0.0,51,0,2,q00-20,,,q00-20,,,,,,,-0.46844919700475374,,,
33,mean_area:q20-40  mean_concavity:q20-40,41,1.0,0.0,,0.0,40,,0.975,1.0,True,0.0,,,0,0.0,0,0.9119026971211966,,1,0,0.0,41,0.0,40,1,2,q20-40,,,q20-40,,,,,,,-0.5733493762713067,-0.7715096456373851,,
34,mean_area:q20-40  mean_concavity:q40-60,31,1.0,0.0,,,31,,,1.0,True,0.0,,,0,,0,0.88781125307763,,0,0,,31,0.0,31,0,2,q20-40,,,q40-60,,,,,,,-0.9393178967613102,,,
35,mean_area:q20-40  mean_concavity:q00-20,31,1.0,0.0,,,31,,,1.0,True,0.0,,,0,,0,0.88781125307763,,0,0,,31,0.0,31,0,2,q20-40,,,q00-20,,,,,,,-0.29931299831604413,,,
36,mean_area:q40-60  mean_concavity:q60-80,22,0.9,1.0,1.0,0.9166666666666666,9,0.9166666666666666,0.9978924067681384,0.9974714214555375,True,0.8166666666666667,0.9166666666666666,0.9083333333333332,12,0.6152038348490562,11,0.5549838829718046,0.7807682660413111,12,1,0.9166666666666666,10,0.4643303492340007,10,1,2,q40-60,,,q60-80,,,,,,,-0.5153737004570682,-1.2593644350385291,-0.529791652284642,-1.0417220138285157
37,mean_area:q40-60  mean_concavity:q20-40,34,1.0,0.0,,0.0,33,,0.975,1.0,True,0.0,,,0,0.0,0,0.8942371899254208,,1,0,0.0,34,0.0,33,1,2,q40-60,,,q20-40,,,,,,,-0.5706871870383522,-0.7715096456373851,,
38,mean_area:q40-60  mean_concavity:q40-60,26,1.0,0.2749999999999986,0.7959963984540055,0.2,21,0.33333333333333337,0.7164179361180895,1.0,True,0.4098780306383839,1.0,0.6,1,0.005050763379468115,1,0.8389023847809204,0.4040036015459947,5,0,0.2,25,0.0,21,4,2,q40-60,,,q40-60,,,,,,,-0.654143127172293,-0.39630659913488364,0.7367993217910046,-0.21550807345995251
39,mean_area:q40-60  mean_concavity:q00-20,26,1.0,0.0,,,26,,,1.0,True,0.0,,,0,,0,0.8677253955022459,,0,0,,26,0.0,26,0,2,q40-60,,,q00-20,,,,,,,-0.4563043737980554,,,
40,mean_area:q60-80  mean_concavity:q80-100,31,0.0,0.0,,1.0,0,0.9836065573770492,1.0,0.975,True,0.0,0.967741935483871,,31,0.8842966917779725,30,0.0,,30,1,1.0,0,0.0,1,0,2,q60-80,,,q80-100,,,,,,,-0.5679212277366135,-1.431473038670662,,
41,mean_area:q60-80  mean_concavity:q60-80,34,0.8181818181818182,0.8951011009588675,0.9988502032773078,0.9130434782608695,9,0.9130434782608695,0.989290033962079,0.9771688017000408,True,0.7312252964426877,0.9130434782608695,0.8656126482213438,23,0.7196206640905891,21,0.48224414763987544,0.7323750931653797,23,2,0.9130434782608695,11,0.49141227506669005,11,2,2,q60-80,,,q60-80,,,,,,,-0.5257898021619266,-0.574467171561745,-0.5469983790841983,-0.6419233967956645
42,mean_area:q60-80  mean_concavity:q40-60,31,0.8095238095238095,0.8153372098355113,0.961214206260899,0.8,17,0.7272727272727272,0.9747892736731665,0.9455364318215961,True,0.5849690635808873,0.6666666666666666,0.8047619047619048,12,0.4439045376923585,8,0.5809339588164454,0.6483096032629105,10,4,0.8,19,0.29371039362197937,21,2,2,q60-80,,,q40-60,,,,,,,-0.6269676784712326,-1.0177177942800175,-0.6474310481091913,-0.797992160825843
43,mean_area:q80-100  mean_fractal_dimension:q00-20,43,0.0,0.0,,1.0,0,0.988235294117647,1.0,0.975,True,0.0,0.9767441860465116,,43,0.9159161450596448,42,0.0,,42,1,1.0,0,0.0,1,0,2,q80-100,,,,q00-20,,,,,,-1.0,-2.221524400899531,,
44,mean_area:q80-100  mean_fractal_dimension:q40-60,29,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,29,0.8805551309302788,29,,,29,0,1.0,0,0.0,0,0,2,q80-100,,,,q40-60,,,,,,,-2.0999849327913718,,
45,mean_area:q00-20  mean_fractal_dimension:q80-100,44,1.0,1.0,1.0,0.5,42,0.6666666666666666,0.987420882906321,1.0,True,0.6988362419217079,1.0,0.75,1,0.01257911709367899,1,0.9159161450596448,0.2600090038649865,2,0,0.5,43,0.0,42,1,2,q00-20,,,,q80-100,,,,,,-1.557204261558677,-0.9161707983562738,-1.0,-0.6666666666666666
46,mean_area:q00-20  mean_fractal_dimension:q40-60,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,2,q00-20,,,,q40-60,,,,,,-0.4574136119566359,,,
47,mean_area:q00-20  mean_fractal_dimension:q60-80,36,1.0,0.0,,,36,,,1.0,True,0.0,,,0,,0,0.9026062440854072,,0,0,,36,0.0,36,0,2,q00-20,,,,q60-80,,,,,,-0.4571161881811276,,,
48,mean_area:q20-40  mean_fractal_dimension:q20-40,32,1.0,0.0,,,32,,,1.0,True,0.0,,,0,,0,0.8911188393205571,,0,0,,32,0.0,32,0,2,q20-40,,,,q20-40,,,,,,-0.7401268073732465,,,
49,mean_area:q20-40  mean_fractal_dimension:q40-60,31,1.0,0.0,,0.0,30,,0.975,1.0,True,0.0,,,0,0.0,0,0.8842966917779725,,1,0,0.0,31,0.0,30,1,2,q20-40,,,,q40-60,,,,,,-0.6658734613614,-0.7715096456373851,,
50,mean_area:q20-40  mean_fractal_dimension:q60-80,25,1.0,0.0,,,25,,,1.0,True,0.0,,,0,,0,0.8628148284692875,,0,0,,25,0.0,25,0,2,q20-40,,,,q60-80,,,,,,-0.3245267834676633,,,
51,mean_area:q40-60  mean_fractal_dimension:q00-20,28,1.0,1.0,1.0,0.5,26,0.6666666666666666,0.987420882906321,1.0,True,0.693888666488711,1.0,0.75,1,0.01257911709367899,1,0.8677253955022459,0.2600090038649865,2,0,0.5,27,0.0,26,1,2,q40-60,,,,q00-20,,,,,,-1.1433408199619104,-0.4836403915416289,-0.2837933093580559,-0.30862338134840556
52,mean_area:q40-60  mean_fractal_dimension:q20-40,32,1.0,1.0,,1.0,31,1.0,1.0,1.0,True,1.0,1.0,1.0,1,0.025000000000000022,1,0.88781125307763,,1,0,1.0,31,0.0,31,0,2,q40-60,,,,q20-40,,,,,,-0.7183061407445046,-0.496463559387116,-0.2837933093580559,
53,mean_area:q60-80  mean_fractal_dimension:q80-100,21,0.5,1.0,1.0,1.0,2,0.9444444444444444,1.0,0.932414013511457,True,0.6688560540599386,0.8947368421052632,0.75,19,0.8049356770312616,17,0.06758598648854298,0.4671035664809571,17,2,1.0,2,0.0,4,0,2,q60-80,,,,q80-100,,,,,,-0.24914958930795786,-0.8490848745896888,-0.32571603245855674,-0.32315173030912403
54,mean_area:q60-80  mean_fractal_dimension:q00-20,31,0.8823529411764706,0.8121395577629298,0.9442888754704072,0.7142857142857143,15,0.7692307692307692,0.9161106816933545,0.9854206831596984,True,0.6095824321285693,0.8333333333333334,0.7983193277310925,12,0.4189647428163384,10,0.6355908378987497,0.6523497799917778,14,2,0.7142857142857143,19,0.431910988145013,17,4,2,q60-80,,,,q00-20,,,,,,-0.7674537236888574,-0.20699156750128217,-0.3625597896549818,-0.39903966903321003
55,mean_area:q60-80  mean_fractal_dimension:q20-40,22,0.8571428571428571,0.9301796827334212,1.0,0.875,12,0.823529411764706,0.9968402764687477,0.9822054845168084,True,0.7163279717599775,0.7777777777777778,0.8660714285714286,9,0.4734903291248362,7,0.5718708390903011,0.7109859040465871,8,2,0.875,13,0.4464364182521267,14,1,2,q60-80,,,,q20-40,,,,,,-0.646455330342394,-0.35644580615426424,-0.5289907560084963,-0.5958408499044223
56,mean_area:q60-80  mean_fractal_dimension:q60-80,26,1.0,1.0,,1.0,7,1.0,1.0,1.0,True,1.0,1.0,1.0,19,0.823533088192828,19,0.5903836027749514,,19,0,1.0,7,1.0,7,0,2,q60-80,,,,q60-80,,,,,,-0.6910307696686223,-0.9385678284312925,,
57,mean_area:q80-100  mean_perimeter:q80-100,109,0.0,0.0,,1.0,0,0.9953917050691244,1.0,0.975,True,0.0,0.9908256880733946,,109,0.9664204497813456,108,0.0,,108,1,1.0,0,0.0,1,0,2,q80-100,,,,,q80-100,,,,,-1.0,-0.9648707537889887,,
58,mean_area:q00-20  mean_perimeter:q00-20,109,1.0,0.0,,0.0,108,,0.975,1.0,True,0.0,,,0,0.0,0,0.9664204497813456,,1,0,0.0,109,0.0,108,1,2,q00-20,,,,,q00-20,,,,,-0.9734196500892696,-1.0,,
59,mean_area:q20-40  mean_perimeter:q20-40,102,1.0,0.9334110833204247,1.0,0.5,98,0.6666666666666666,0.932414013511457,1.0,True,0.7,1.0,0.75,2,0.06758598648854298,2,0.9630580129648071,0.4671035664809571,4,0,0.5,100,0.0,98,2,2,q20-40,,,,,q20-40,,,,,-0.9173301761415249,-0.8653309357324502,-1.0,-0.7736437119396943
60,mean_area:q40-60  mean_perimeter:q40-60,102,0.9880952380952381,0.949321124403318,0.9824360690473298,0.7777777777777778,83,0.8484848484848485,0.9359079522820022,0.9996986429413853,True,0.8243799259812693,0.9333333333333333,0.8829365079365079,15,0.5236272342636347,14,0.9354480315680546,0.783436946825686,18,1,0.7777777777777778,87,0.74930844596274,84,4,2,q40-60,,,,,q40-60,,,,,-0.9347167635053294,-1.0186261552637799,-1.3331859520126987,-1.059374484109979
61,mean_area:q60-80  mean_perimeter:q60-80,107,0.8372093023255814,0.857494325918094,0.944459545131467,0.921875,36,0.9076923076923077,0.9741461598321495,0.9319479055384647,True,0.7655090494492337,0.8939393939393939,0.8795421511627907,66,0.8270216709957792,59,0.6929891276350901,0.8146247571941145,64,7,0.921875,41,0.6403766928685084,43,5,2,q60-80,,,,,q60-80,,,,,-1.0,-1.0131706613368336,-1.1341185333119947,-1.0224093594066783
62,mean_area:q80-100  mean_radius:q80-100,111,0.0,0.0,,1.0,0,0.9954751131221719,1.0,0.975,True,0.0,0.990990990990991,,111,0.9670208059675449,110,0.0,,110,1,1.0,0,0.0,1,0,2,q80-100,,,,,,q80-100,,,,-1.0,-0.9824353469488457,,
63,mean_area:q00-20  mean_radius:q00-20,112,1.0,1.0,1.0,0.5,110,0.6666666666666666,0.987420882906321,1.0,True,0.7039144092114434,1.0,0.75,1,0.01257911709367899,1,0.9670208059675449,0.2600090038649865,2,0,0.5,111,0.0,110,1,2,q00-20,,,,,,q00-20,,,,-0.9911398681189763,-1.0,-1.0,-1.0
64,mean_area:q20-40  mean_radius:q20-40,110,1.0,0.9120458355424114,1.0,0.6666666666666666,104,0.8,0.9567281317071105,1.0,True,0.8087571021725035,1.0,0.8333333333333333,4,0.22277809550354957,4,0.9651516934123259,0.6267349892318128,6,0,0.6666666666666666,106,0.4147209923901276,104,2,2,q20-40,,,,,,q20-40,,,,-0.9814585162209177,-1.0,-0.7185129849721572,-1.0000000000000002
65,mean_area:q40-60  mean_radius:q40-60,110,0.9886363636363636,0.9181424266006016,0.9538438308535353,0.7272727272727273,87,0.8205128205128205,0.892710751629603,0.9997123390191408,True,0.7922178413538745,0.9411764705882353,0.8579545454545454,17,0.4977787987335407,16,0.9383062460405893,0.7620652600555555,22,1,0.7272727272727273,93,0.6171684025874365,88,6,2,q40-60,,,,,,q40-60,,,,-0.978238749285933,-1.0,-0.914196338536751,-0.9988045824350753
66,mean_area:q60-80  mean_radius:q60-80,112,0.8478260869565217,0.8777098725114859,0.9475803264344699,0.9242424242424242,39,0.9104477611940298,0.9749443870832769,0.9365557018749532,True,0.7777247663855393,0.8970588235294118,0.886034255599473,68,0.8319934099362835,61,0.7113089959399508,0.8244881847644757,66,7,0.9242424242424242,44,0.6858585156339307,46,5,2,q60-80,,,,,,q60-80,,,,-0.9749897793472667,-0.9833479707072239,-1.1012049465113376,-0.9731468587398033
67,mean_area:q80-100  mean_smoothness:q80-100,27,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,27,0.8722971323845661,27,,,27,0,1.0,0,0.0,0,0,2,q80-100,,,,,,,q80-100,,,,-0.9410799269480302,,
68,mean_area:q80-100  mean_smoothness:q20-40,20,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,20,0.8315665290169145,20,,,20,0,1.0,0,0.0,0,0,2,q80-100,,,,,,,q20-40,,,,-1.3105198167241292,,
69,mean_area:q80-100  mean_smoothness:q60-80,32,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,32,0.8911188393205571,32,,,32,0,1.0,0,0.0,0,0,2,q80-100,,,,,,,q60-80,,,,-1.4133302109504853,,
70,mean_area:q80-100  mean_smoothness:q40-60,26,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,26,0.8677253955022459,26,,,26,0,1.0,0,0.0,0,0,2,q80-100,,,,,,,q40-60,,,,-1.6043271326353132,,
71,mean_area:q00-20  mean_smoothness:q60-80,30,1.0,0.0,,,30,,,1.0,True,0.0,,,0,,0,0.8842966917779725,,0,0,,30,0.0,30,0,2,q00-20,,,,,,,q60-80,,,-1.0124901844945495,,,
72,mean_area:q00-20  mean_smoothness:q40-60,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,2,q00-20,,,,,,,q40-60,,,-0.7335989908097735,,,
73,mean_area:q00-20  mean_smoothness:q00-20,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,2,q00-20,,,,,,,q00-20,,,-0.683405305522001,,,
74,mean_area:q20-40  mean_smoothness:q80-100,22,1.0,1.0,1.0,0.75,18,0.8571428571428571,0.9936905367902901,1.0,True,0.8429272304235247,1.0,0.875,3,0.1941204496832434,3,0.8146980318621477,0.6300045019324932,4,0,0.75,19,0.5491696473652761,18,1,2,q20-40,,,,,,,q80-100,,,-0.6488953323853177,-0.9641586819186878,-0.9877075032978799,-1.0088366283313102
75,mean_area:q20-40  mean_smoothness:q20-40,31,1.0,0.0,,,31,,,1.0,True,0.0,,,0,,0,0.88781125307763,,0,0,,31,0.0,31,0,2,q20-40,,,,,,,q20-40,,,-0.38296995739953416,,,
76,mean_area:q20-40  mean_smoothness:q60-80,20,1.0,1.0,1.0,0.5,18,0.6666666666666666,0.987420882906321,1.0,True,0.6882472016116853,1.0,0.75,1,0.01257911709367899,1,0.8146980318621477,0.2600090038649865,2,0,0.5,19,0.0,18,1,2,q20-40,,,,,,,q60-80,,,-0.6322030201060773,-0.7843763103085292,-0.44528852201174596,-0.5044183141656551
77,mean_area:q20-40  mean_smoothness:q00-20,23,1.0,0.0,,,23,,,1.0,True,0.0,,,0,,0,0.8518148710847749,,0,0,,23,0.0,23,0,2,q20-40,,,,,,,q00-20,,,-0.5692669628433913,,,
78,mean_area:q40-60  mean_smoothness:q80-100,20,0.875,1.0,1.0,0.9166666666666666,7,0.9166666666666666,0.9978924067681384,0.9968402764687477,True,0.7916666666666666,0.9166666666666666,0.8958333333333333,12,0.6152038348490562,11,0.4734903291248362,0.7486093615766276,12,1,0.9166666666666666,8,0.529933284649914,8,1,2,q40-60,,,,,,,q80-100,,,-0.22371619462163495,-1.2593644350385291,-0.6037298538499977,-0.9084607319781955
79,mean_area:q40-60  mean_smoothness:q20-40,23,1.0,1.0,1.0,0.5,21,0.6666666666666666,0.987420882906321,1.0,True,0.6908492797077574,1.0,0.75,1,0.01257911709367899,1,0.8389023847809204,0.2600090038649865,2,0,0.5,22,0.0,21,1,2,q40-60,,,,,,,q20-40,,,-0.37466402275820077,-0.4836403915416289,-0.2837933093580559,-0.30862338134840556
80,mean_area:q40-60  mean_smoothness:q40-60,21,1.0,1.0,0.9933273307566757,0.3333333333333333,18,0.5,0.9057006759492866,1.0,True,0.5477225575051662,1.0,0.6666666666666666,1,0.008403758659612647,1,0.8146980318621477,0.34000600257665775,3,0,0.3333333333333333,20,0.0,18,2,2,q40-60,,,,,,,q40-60,,,-0.666817657542938,-0.4343630729602752,-0.2837933093580559,-0.3393519308008096
81,mean_area:q40-60  mean_smoothness:q00-20,36,1.0,0.0,,0.0,35,,0.975,1.0,True,0.0,,,0,0.0,0,0.8999675644278913,,1,0,0.0,36,0.0,35,1,2,q40-60,,,,,,,q00-20,,,-0.8432954550558516,-0.47082253374609034,,
82,mean_area:q60-80  mean_smoothness:q80-100,27,1.0,1.0,,1.0,4,1.0,1.0,1.0,True,1.0,1.0,1.0,23,0.8518148710847749,23,0.3976353643835142,,23,0,1.0,4,1.0,4,0,2,q60-80,,,,,,,q80-100,,,-0.46991061145815816,-1.1176976220035317,,
83,mean_area:q60-80  mean_smoothness:q20-40,22,1.0,1.0,1.0,0.875,14,0.9333333333333333,0.9968402764687477,1.0,True,0.903696114115064,1.0,0.9375,7,0.4734903291248362,7,0.7683642383498855,0.8150022509662467,8,0,0.875,15,0.7174300539794393,14,1,2,q60-80,,,,,,,q20-40,,,-1.2219941006815327,-0.4157365049828375,-1.1526917035786126,-0.9308567561858295
