,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,degree,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,specificity_CI_diff,sensitivity_CI_diff,phi_CI_diff,AUC_CI_diff
0,mean_area:q80-100  mean_compactness:q80-100,48,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,48,0.9260272146527198,48,,,48,0,1.0,0,0.0,0,0,2,q80-100,q80-100,,,,,,,,,,-0.7661561846325643,,
1,mean_area:q80-100  mean_compactness:q60-80,39,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,39,0.9097488990396657,39,,,39,0,1.0,0,0.0,0,0,2,q80-100,q60-80,,,,,,,,,,-1.688217338087224,,
2,mean_area:q00-20  mean_compactness:q20-40,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,2,q00-20,q20-40,,,,,,,,,-0.5647057817584594,,,
3,mean_area:q00-20  mean_compactness:q40-60,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,2,q00-20,q40-60,,,,,,,,,-0.6200888209218702,,,
4,mean_area:q00-20  mean_compactness:q00-20,41,1.0,0.0,,,41,,,1.0,True,0.0,,,0,,0,0.9139561637059667,,0,0,,41,0.0,41,0,2,q00-20,q00-20,,,,,,,,,-0.390260960749178,,,
5,mean_area:q20-40  mean_compactness:q20-40,33,1.0,0.0,,,33,,,1.0,True,0.0,,,0,,0,0.8942371899254208,,0,0,,33,0.0,33,0,2,q20-40,q20-40,,,,,,,,,-0.659069948555372,,,
6,mean_area:q20-40  mean_compactness:q40-60,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,2,q20-40,q40-60,,,,,,,,,-0.8461357477426795,,,
7,mean_area:q20-40  mean_compactness:q00-20,32,1.0,0.0,,0.0,31,,0.975,1.0,True,0.0,,,0,0.0,0,0.88781125307763,,1,0,0.0,32,0.0,31,1,2,q20-40,q00-20,,,,,,,,,-0.29931299831604413,-0.9556185966226775,,
8,mean_area:q40-60  mean_compactness:q20-40,31,1.0,1.0,0.9933273307566757,0.3333333333333333,28,0.5,0.9057006759492866,1.0,True,0.5577733510227171,1.0,0.6666666666666666,1,0.008403758659612647,1,0.8765638814997305,0.34000600257665775,3,0,0.3333333333333333,30,0.0,28,2,2,q40-60,q20-40,,,,,,,,,-0.5647057817584594,-0.49463249748360094,-0.45684730836813847,-0.36518584164850604
9,mean_area:q40-60  mean_compactness:q40-60,22,1.0,1.0,1.0,0.5,20,0.6666666666666666,0.987420882906321,1.0,True,0.6900655593423543,1.0,0.75,1,0.01257911709367899,1,0.8315665290169145,0.2600090038649865,2,0,0.5,21,0.0,20,1,2,q40-60,q40-60,,,,,,,,,-0.6200888209218702,-0.4836403915416289,-0.2837933093580559,-0.30862338134840556
10,mean_area:q40-60  mean_compactness:q00-20,29,1.0,0.0,,0.0,28,,0.975,1.0,True,0.0,,,0,0.0,0,0.8765638814997305,,1,0,0.0,29,0.0,28,1,2,q40-60,q00-20,,,,,,,,,-0.4889774671147112,-0.9556185966226775,,
