,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,degree,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,specificity_CI_diff,sensitivity_CI_diff,phi_CI_diff,AUC_CI_diff
477,mean_fractal_dimension:q00-20  mean_smoothness:q00-20  mean_symmetry:q00-20,23,0.9473684210526315,1.0,1.0,1.0,18,0.888888888888889,1.0,0.9986683711958152,True,0.870571500132014,0.8,0.9736842105263158,5,0.3976353643835142,4,0.7397193458047858,0.9221062109331566,4,1,1.0,18,0.33687863676566243,19,0,3,,,,,q00-20,,,q00-20,q00-20,,-1.0000972697617299,-0.8662921414218226,-0.7330908413062193,-2.8826417833032947
478,mean_perimeter:q80-100  mean_radius:q80-100  mean_smoothness:q80-100,27,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,27,0.8722971323845661,27,,,27,0,1.0,0,0.0,0,0,3,,,,,,q80-100,q80-100,q80-100,,,,-1.0,,
479,mean_perimeter:q80-100  mean_radius:q80-100  mean_smoothness:q60-80,32,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,32,0.8911188393205571,32,,,32,0,1.0,0,0.0,0,0,3,,,,,,q80-100,q80-100,q60-80,,,,-1.0,,
480,mean_perimeter:q80-100  mean_radius:q80-100  mean_smoothness:q40-60,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,3,,,,,,q80-100,q80-100,q40-60,,,,-1.0,,
481,mean_perimeter:q20-40  mean_radius:q20-40  mean_smoothness:q20-40,29,1.0,0.0,,,29,,,1.0,True,0.0,,,0,,0,0.8805551309302788,,0,0,,29,0.0,29,0,3,,,,,,q20-40,q20-40,q20-40,,,-0.9686754158899054,,,
482,mean_perimeter:q20-40  mean_radius:q20-40  mean_smoothness:q60-80,20,1.0,1.0,1.0,0.5,18,0.6666666666666666,0.987420882906321,1.0,True,0.6882472016116853,1.0,0.75,1,0.01257911709367899,1,0.8146980318621477,0.2600090038649865,2,0,0.5,19,0.0,18,1,3,,,,,,q20-40,q20-40,q60-80,,,-1.0,-1.0,-1.0,-1.0
483,mean_perimeter:q20-40  mean_radius:q20-40  mean_smoothness:q00-20,24,1.0,0.0,,,24,,,1.0,True,0.0,,,0,,0,0.8575264022774187,,0,0,,24,0.0,24,0,3,,,,,,q20-40,q20-40,q00-20,,,-1.0,,,
484,mean_perimeter:q40-60  mean_radius:q40-60  mean_smoothness:q20-40,22,1.0,1.0,,1.0,21,1.0,1.0,1.0,True,1.0,1.0,1.0,1,0.025000000000000022,1,0.8389023847809204,,1,0,1.0,21,0.0,21,0,3,,,,,,q40-60,q40-60,q20-40,,,-1.0,-1.0127393670834062,-1.0,
485,mean_perimeter:q40-60  mean_radius:q40-60  mean_smoothness:q00-20,32,1.0,0.0,,0.0,31,,0.975,1.0,True,0.0,,,0,0.0,0,0.88781125307763,,1,0,0.0,32,0.0,31,1,3,,,,,,q40-60,q40-60,q00-20,,,-0.9427220909042038,-1.0,,
486,mean_perimeter:q60-80  mean_radius:q60-80  mean_smoothness:q80-100,24,1.0,1.0,,1.0,4,1.0,1.0,1.0,True,1.0,1.0,1.0,20,0.8315665290169145,20,0.3976353643835142,,20,0,1.0,4,1.0,4,0,3,,,,,,q60-80,q60-80,q80-100,,,-1.0,-1.2539175392177824,,
487,mean_perimeter:q60-80  mean_radius:q60-80  mean_smoothness:q20-40,21,1.0,1.0,1.0,0.875,13,0.9333333333333333,0.9968402764687477,1.0,True,0.9013878188659973,1.0,0.9375,7,0.4734903291248362,7,0.7529473619994964,0.8150022509662467,8,0,0.875,14,0.560112033611204,13,1,3,,,,,,q60-80,q60-80,q20-40,,,-1.2426941677274626,-1.0,-0.7052745005342855,-1.002040531704325
488,mean_perimeter:q60-80  mean_radius:q60-80  mean_smoothness:q40-60,27,0.7272727272727273,0.9403056282246289,0.9625402528219418,0.875,8,0.8484848484848485,0.9844863961845862,0.9397822658272428,True,0.6128089093333163,0.8235294117647058,0.8011363636363636,17,0.6165237631507436,14,0.39025744042757876,0.6397324744507857,16,3,0.875,10,0.3486343238215588,11,2,3,,,,,,q60-80,q60-80,q40-60,,,-1.0,-1.0,-1.0414715630882,-0.9646378637969784
489,mean_perimeter:q00-20  mean_radius:q00-20  mean_smoothness:q60-80,30,1.0,0.0,,,30,,,1.0,True,0.0,,,0,,0,0.8842966917779725,,0,0,,30,0.0,30,0,3,,,,,,q00-20,q00-20,q60-80,,,-1.0,,,
490,mean_perimeter:q00-20  mean_radius:q00-20  mean_smoothness:q40-60,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,3,,,,,,q00-20,q00-20,q40-60,,,-0.9564465677683354,,,
491,mean_perimeter:q00-20  mean_radius:q00-20  mean_smoothness:q00-20,26,1.0,0.0,,,26,,,1.0,True,0.0,,,0,,0,0.8677253955022459,,0,0,,26,0.0,26,0,3,,,,,,q00-20,q00-20,q00-20,,,-1.0,,,
492,mean_perimeter:q80-100  mean_radius:q80-100  mean_symmetry:q80-100,31,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,31,0.88781125307763,31,,,31,0,1.0,0,0.0,0,0,3,,,,,,q80-100,q80-100,,q80-100,,,-1.0,,
493,mean_perimeter:q80-100  mean_radius:q80-100  mean_symmetry:q40-60,32,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,32,0.8911188393205571,32,,,32,0,1.0,0,0.0,0,0,3,,,,,,q80-100,q80-100,,q40-60,,,-0.9713600536088663,,
494,mean_perimeter:q80-100  mean_radius:q80-100  mean_symmetry:q60-80,22,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,22,0.8456274871844254,22,,,22,0,1.0,0,0.0,0,0,3,,,,,,q80-100,q80-100,,q60-80,,,-1.0,,
495,mean_perimeter:q20-40  mean_radius:q20-40  mean_symmetry:q00-20,27,1.0,0.0,,,27,,,1.0,True,0.0,,,0,,0,0.8722971323845661,,0,0,,27,0.0,27,0,3,,,,,,q20-40,q20-40,,q00-20,,-1.0,,,
496,mean_perimeter:q20-40  mean_radius:q20-40  mean_symmetry:q60-80,23,1.0,1.0,,1.0,22,1.0,1.0,1.0,True,1.0,1.0,1.0,1,0.025000000000000022,1,0.8456274871844254,,1,0,1.0,22,0.0,22,0,3,,,,,,q20-40,q20-40,,q60-80,,-1.0,-1.0,-1.0,
497,mean_perimeter:q20-40  mean_radius:q20-40  mean_symmetry:q20-40,26,1.0,0.0,,0.0,25,,0.975,1.0,True,0.0,,,0,0.0,0,0.8628148284692875,,1,0,0.0,26,0.0,25,1,3,,,,,,q20-40,q20-40,,q20-40,,-0.9642048263805313,-1.0,,
498,mean_perimeter:q40-60  mean_radius:q40-60  mean_symmetry:q40-60,23,1.0,0.8751308843309663,0.9400455838177655,0.4,18,0.5714285714285715,0.8533672003653274,1.0,True,0.5855400437691199,1.0,0.7,2,0.05274495052631566,2,0.8146980318621477,0.4599544161822346,5,0,0.4,21,0.0,18,3,3,,,,,,q40-60,q40-60,,q40-60,,-0.952320763673122,-1.0,-1.0,-1.0000000000000002
499,mean_perimeter:q40-60  mean_radius:q40-60  mean_symmetry:q00-20,27,1.0,0.0,,,27,,,1.0,True,0.0,,,0,,0,0.8722971323845661,,0,0,,27,0.0,27,0,3,,,,,,q40-60,q40-60,,q00-20,,-0.9353342747902813,,,
500,mean_perimeter:q40-60  mean_radius:q40-60  mean_symmetry:q20-40,31,1.0,1.0,1.0,0.75,27,0.8571428571428571,0.9936905367902901,1.0,True,0.8504200642707612,1.0,0.875,3,0.1941204496832434,3,0.8722971323845661,0.6300045019324932,4,0,0.75,28,0.30184156992258954,27,1,3,,,,,,q40-60,q40-60,,q20-40,,-0.9665884627742786,-1.0,-0.8512444724467304,-1.0
501,mean_perimeter:q60-80  mean_radius:q60-80  mean_symmetry:q80-100,24,0.6666666666666666,1.0,1.0,0.9523809523809523,2,0.9523809523809523,0.9987951165516293,0.9915962413403874,True,0.6190476190476191,0.9523809523809523,0.8095238095238095,21,0.761840090063179,20,0.09429932405071303,0.47954670848817216,21,1,0.9523809523809523,3,-0.024999999999999942,3,1,3,,,,,,q60-80,q60-80,,q80-100,,-1.0,-0.9211947399467776,-1.0262601626016261,-0.9949663630556613
502,mean_perimeter:q60-80  mean_radius:q60-80  mean_symmetry:q40-60,20,0.6,0.7807871928400343,0.9376522649024772,0.9,6,0.7826086956521738,0.9974714214555375,0.8784477418801728,True,0.5241424183609591,0.6923076923076923,0.75,13,0.5549838829718046,9,0.2623780766069451,0.5623477350975228,10,4,0.9,7,0.2952567050119335,10,1,3,,,,,,q60-80,q60-80,,q40-60,,-1.0,-0.9271477787820281,-1.3414727909798034,-0.9759119750625893
503,mean_perimeter:q60-80  mean_radius:q60-80  mean_symmetry:q60-80,30,1.0,1.0,1.0,0.9523809523809523,9,0.975609756097561,0.9987951165516293,1.0,True,0.9258200997725514,1.0,0.9761904761904762,20,0.761840090063179,20,0.6637328831200571,0.9295246670347602,21,0,0.9523809523809523,10,0.8007925783869249,9,1,3,,,,,,q60-80,q60-80,,q60-80,,-1.0,-1.178174848612666,-1.928714000818251,-2.6303563957238376
504,mean_perimeter:q00-20  mean_radius:q00-20  mean_symmetry:q80-100,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,,,,,,q00-20,q00-20,,q80-100,,-0.959919134647102,,,
505,mean_perimeter:q00-20  mean_radius:q00-20  mean_symmetry:q00-20,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,,,,,,q00-20,q00-20,,q00-20,,-1.0,,,
506,mean_perimeter:q00-20  mean_radius:q00-20  mean_symmetry:q60-80,26,1.0,0.0,,0.0,25,,0.975,1.0,True,0.0,,,0,0.0,0,0.8628148284692875,,1,0,0.0,26,0.0,25,1,3,,,,,,q00-20,q00-20,,q60-80,,-1.0,-1.0,,
507,mean_perimeter:q00-20  mean_radius:q00-20  mean_symmetry:q20-40,23,1.0,0.0,,,23,,,1.0,True,0.0,,,0,,0,0.8518148710847749,,0,0,,23,0.0,23,0,3,,,,,,q00-20,q00-20,,q20-40,,-1.0,,,
