,description,size,TNR,prevalence_threshold_UB,FNR,prevalence_LB,R2_LB,fp,jaccard_UB,recall,ConfusionMatrix,tn,AP,accuracy_LB,p,explained_variance,recall_UB,phi_UB,R2,prevalence_threshold_LB,AP_LB,tp,FNR_UB,jaccard_complement,TPR_LB,balanced_informedness_markedness_LB,markedness_UB,sensitivity_LB,LR-,balanced_informedness_markedness_UB,pn,explained_variance_UB,phi_LB,R2_UB,markedness,accuracy,FNR_LB,explained_variance_LB,phi,specificity_LB,F1_complement_LB,n,markedness_LB,NPV_LB,TPR,balanced_accuracy,LR+_LB,balanced_accuracy_LB,specificity_UB,F1,specificity,AUC_LB,jaccard_LB,prevalence,informedness_LB,balanced_informedness_markedness,prevalence_threshold,NPV,pp,prevalence_UB,informedness,jaccard_complement_UB,precision,LR-_UB,jaccard,FPR_UB,LR+_UB,sensitivity,balanced_accuracy_UB,AUC_UB,TPR_UB,F1_complement_UB,LR-_LB,FPR,jaccard_complement_LB,DOR,fn,LR+,AP_UB,DOR_LB,FPR_LB,DOR_UB,F1_complement,accuracy_UB,sensitivity_UB,informedness_UB,AUC,precision_LB,recall_LB,precision_UB,NPV_UB,degree,DisparateImpact,TPR_Disparity_UB,EqualOpportunityDifference_LB,DisparateImpact_LB,AverageOddsDifference_LB,TPR_Disparity,StatisticalParityDifference_UB,AverageOddsDifference_UB,StatisticalParityDifference_LB,AverageOddsDifference,EqualOpportunityDifference_UB,predicted_prevalence,EqualOpportunityDifference,DisparateImpact_UB,StatisticalParityDifference,TPR_Disparity_LB,Hispanic,age_first_child,age_group,bmi,density,ethnicity,hrt,lastmamm,menopause,nrelbc,rstproc,surgmeno,FNR_CI_diff,recall_CI_diff,AP_CI_diff,explained_variance_CI_diff,R2_CI_diff,jaccard_complement_CI_diff,LR-_CI_diff,markedness_CI_diff,accuracy_CI_diff,phi_CI_diff,TPR_CI_diff,balanced_accuracy_CI_diff,specificity_CI_diff,prevalence_CI_diff,balanced_informedness_markedness_CI_diff,prevalence_threshold_CI_diff,NPV_CI_diff,informedness_CI_diff,precision_CI_diff,jaccard_CI_diff,sensitivity_CI_diff,FPR_CI_diff,DOR_CI_diff,LR+_CI_diff,F1_complement_CI_diff,AUC_CI_diff,DisparateImpact_CI_diff,TPR_Disparity_CI_diff,AverageOddsDifference_CI_diff,EqualOpportunityDifference_CI_diff,StatisticalParityDifference_CI_diff
0,Hispanic:no,32139,0.6965716620054677,0.39079813827342824,0.23734177215189872,0.008782484349552127,-33.36126828698573,9656,8.496661408593992e-05,0.7626582278481012,True,22167,0.020904961544303477,0.6932122965867016,316,-20.971713795093667,0.8084926244274868,0.11218934542860672,-30.100088921435294,0.37929187820511123,0.018621883231100405,241,0.28817556559327734,0.6949338516521412,0.7118244344067226,0.6956158303762153,-0.9696187705148456,0.7118244344067226,0.34072843484413196,0.8511741958491891,22242,-18.87110338720086,0.09102829714958104,-26.362111931378422,-0.9722771877012485,0.6972214443510999,0.19150737557251313,-23.03625369808469,0.09815344442386584,0.6914870442237887,0.8165274911584307,31823,-0.9745531838984676,0.9957749777223607,0.7626582278481012,0.7296149449267845,2.3786258623629872,0.7040371076738907,0.7016203775978331,0.047194751786938216,0.6965716620054677,0.7059878466738619,7.456719372793078e-05,0.009832290986029434,2.4226544597788675,0.7705967409054924,0.38678840546789967,0.9966280010790397,9897,0.010972054328105127,2.513470669512233,0.6992618201474902,0.02435081337779125,0.37997033868586877,7.898283221293509e-05,0.3085129557762113,2.6404963673572457,0.7626582278481012,0.7603522034934579,0.753242043179707,0.8084926244274868,0.8227793965924384,0.29407681792879253,0.3034283379945323,0.6919642195012238,7.37675642087821,75,2.513470669512233,0.023559721289754722,5.5939738716980845,0.2983796224021669,8.919339444841706,0.820012947378156,0.7004029372413578,0.8084926244274868,2.673121467472365,0.7296149449267846,0.021404219192858252,0.7118244344067226,0.027581649643667848,0.9973468131484278,1,4.925405920505332,0.4576228635600995,-0.16717673094779062,-0.3086013735075852,-0.022883096363797872,0.13765822784810122,0.2591743181305969,0.37710609626256714,0.233835122497033,0.1900575784776378,0.573692493056927,0.3079436199010548,0.13765822784810122,10.127420953224075,0.2454221496159294,-0.23706032894168116,no,,,,,,,,,,,,-0.0929726018981569,-0.09958114957136333,-0.005364714301739421,-4.695465601182541,-6.945026915697468,0.01088876296428376,-0.09984689559107929,-0.0048537210688834875,0.01250077174580333,-0.025692315824337036,-0.09958114957136333,-0.0477898449385441,0.010449059428550456,-0.002703432110455482,-0.08534718518463791,-0.017935939399099488,-0.0012437255224312382,-0.12219598807911014,-0.00609856921449849,-1.0871574457093952e-05,-0.09958114957136333,-0.030088044272595316,-2.549547520865765,-0.09657212484768207,0.007875383857046447,-0.038624685104579615,,,,,
1,Hispanic:yes,2911,0.9390285911126421,0.30421996850258287,0.375,0.001187199676627598,-45.55820698118045,177,0.004526948630779668,0.625,True,2726,0.018200903356348223,0.9316300240467194,8,-20.258353427488803,0.9147665858624069,0.18646129467238629,-21.562004822597316,0.20651841569149904,0.01203228445574572,5,0.7551367836335001,0.93805918788713,0.2448632163664999,2.356944410268233,-0.9496838846940758,0.2448632163664999,0.3993488628026412,7.0864734389990405,2729,-12.885216154574833,0.03276258004519919,-12.79506175501131,-0.9714281687531963,0.938165578838887,0.08523341413759308,-45.62744562170049,0.12196414311437259,0.9297005967899076,0.963276310816848,2903,-0.9920445667161528,0.9967907609824272,0.625,0.7820142955563211,3.7152541231608938,0.607411586589834,0.9474588815815531,0.052631578947368425,0.9390285911126421,0.6026431289749473,0.0018173272357723581,0.0027481964960494676,2.4356647398843956,4.639639022968034,0.23800046806430902,0.9989006962257237,182,0.005407824010880974,10.250706214689265,0.9486068378257525,0.027472527472527472,0.8008532914855945,0.0035310734463276836,0.07029940321009243,14.322456515540345,0.625,0.91578787700981,0.9613854621376946,0.9147665858624069,0.9717274019359514,0.0,0.06097140888735791,0.9302251248674251,25.66854990583804,3,10.250706214689265,0.040286850491511934,8.741928104575164,0.05254111841844692,,0.9680397727272727,0.9477585022329097,0.9147665858624069,15.378198529411762,0.7820142955563212,0.008979166888092818,0.2448632163664999,0.06294423448331152,0.9997732397334641,1,0.20302895155033293,0.40497278133797215,-0.8901515118724548,-5.017621139598211,-0.5831185431063439,-0.13765822784810122,-0.2313848982620073,0.06737821743700603,-0.26629547012912963,-0.1900575784776378,0.6134484672653923,0.06252147028512539,-0.13765822784810122,5.292371534489855,-0.2454221496159294,-0.6227230625383858,yes,,,,,,,,,,,,-0.5599338199383797,-0.2058551110062834,-0.022091843503496633,-10.68135283380857,-20.51207709206458,-0.23845625471397858,-0.5207298483908049,-0.02478860688965323,-0.23485479324574854,-0.0999642650681166,-0.2058551110062834,-0.20322551845489623,-0.23538944455516952,0.0028607982067686702,-6.32064642833449,0.06864223037174588,-0.0036701521074675725,-12.827273050018507,-0.04146115405414216,-0.004452853591150822,-0.2058551110062834,0.20812550829352355,,-11.778532273030782,-0.1410726214864666,-0.24676810406256722,,,,,
2,age_first_child:<30,25929,0.6686123433730251,0.40503808960195403,0.22943722943722944,0.0078012292619099,-39.85172820154294,8516,9.710717432159675e-05,0.7705627705627706,True,17182,0.017820460781877878,0.6623259670639053,231,-24.363408946878476,0.8231591574307691,0.09712185146243424,-36.42868816917382,0.38750908026481357,0.015592814133587108,178,0.28911906054203995,0.6672362238359676,0.7108809394579602,0.6149916461505079,-0.974369605928867,0.7108809394579602,0.3431543430379422,0.7267728100711213,17235,-21.93907015114633,0.07793172111302092,-32.186260044377,-0.9764509721599063,0.6695206139843418,0.17684084256923088,-27.14090071412311,0.08741337996278087,0.6628189546930807,0.7963222286197853,25698,-0.9794558223733629,0.9959795498713913,0.7705627705627706,0.7195875569678978,2.1403749586858147,0.6901769957406593,0.6743675832382093,0.03988795518207283,0.6686123433730251,0.6922655652062388,8.293993408635145e-05,0.008908943653823904,2.212223676689327,0.6744049788050914,0.396058328023404,0.9969248621990137,8694,0.010128716303605682,2.325260929770089,0.6709039780884498,0.02047389003910743,0.4200879891769788,9.048412054518208e-05,0.33718104530691934,2.4293995354262847,0.7705627705627706,0.7471902564931713,0.746909548729557,0.8231591574307691,0.804193598357925,0.26964240844577714,0.33138765662697484,0.6627051264882922,6.776137259941331,53,2.325260929770089,0.02055338529152053,5.35989813992803,0.3256324167617906,9.150898043068569,0.8004099410709711,0.6758523275097381,0.8231591574307691,2.4646260623541725,0.7195875569678978,0.01760114676584913,0.7108809394579602,0.023673948947078263,0.9976956880001405,1,2.2081397228449307,0.19881728571499796,-0.08814876912509811,-0.5210887849716479,0.05551761003188189,0.03937997486384581,0.1992962673403494,0.1772314690876663,0.166141081517256,0.11244407272370009,0.1738543200685556,0.33530024297119054,0.03937997486384581,4.866679410916548,0.18345285781605405,-0.1540648337026379,,<30,,,,,,,,,,,-0.09391609684691951,-0.11424768257464557,-0.002358378303505229,-1.6274988372370736,-1.1208788026988898,0.03924660502332411,-0.13996454608218933,-0.00010288565486205048,0.03705138147742304,-0.01062482185816456,-0.11424768257464557,-0.03462789793825749,0.037701853788174255,-0.001860094085956037,0.0390542005934299,-0.03217589072762528,-0.0015926003741439931,0.08629941703908228,-0.0021908685179089053,-2.3012134692750784e-05,-0.11424768257464557,-0.058756133803303356,-2.7811061190926285,0.11452470708327889,0.026461182091559787,-0.032292190654429564,,,,,
3,age_first_child:Nulliparous,5841,0.8499826569545612,0.3162670209962619,0.2,0.010112713940554378,-14.21718237985212,865,0.001005433573177064,0.8,True,4901,0.05445994530740294,0.8385850025680535,75,-9.215238755925537,0.883517851409248,0.22781286408840193,-10.885952133194587,0.2930733713308733,0.03837680587851346,60,0.3083260893701276,0.8477772011762671,0.6916739106298723,1.852118046368425,-0.9203040179797033,0.6916739106298723,0.23529891858804328,2.506315103698173,4916,-7.682158752258632,0.15446210291184365,-8.774343529755674,-0.9320838739471774,0.8493408662900188,0.1164821485907521,-12.878127329352118,0.2004439331929314,0.8405021730018887,0.9137750183717344,5766,-0.9503007100537672,0.9949723945566511,0.8,0.8249913284772806,4.454817547425474,0.7614870465738908,0.8591075102280415,0.12000000000000001,0.8499826569545612,0.7791906092095904,0.0008451850546447902,0.012840267077555213,4.954631484507306,2.2003164445293013,0.3021816687135892,0.9969487388120423,925,0.01606913667888192,5.33271676300578,0.8572170796572416,0.06486486486486487,0.31053691778756426,0.0009248554913294798,0.15949782699811085,5.909998146968516,0.8,0.8603609651093622,0.8707920477449707,0.883517851409248,0.9223025902392266,0.15264450063820517,0.1500173430454388,0.8395713808924681,22.663583815028897,15,5.33271676300578,0.07090874221097744,13.040460785316737,0.1408924897719584,40.88704163303735,0.9176184235161954,0.853668036295155,0.883517851409248,5.740252394207933,0.8249913284772806,0.049860140313942744,0.6916739106298723,0.08270865753859181,0.9982912576358136,1,0.5053128089551919,0.21554614141759837,-0.1069082483624779,-2.039428067208726,-0.16204263857322146,0.053012048192771166,-0.1413050258485382,0.010589838819925212,-0.16917519331971728,-0.05331955852454143,0.1886279311294522,0.1583632939565143,0.053012048192771166,2.992114440681446,-0.15503326189955743,-0.0989968875954437,,Nulliparous,,,,,,,,,,,-0.11312312567500718,-0.1746063765531245,-0.05271373522296214,-15.88441023612477,-24.532795317320215,-0.14706649654546766,-0.030413474692774778,-0.05416847360402577,-0.14076432730799382,-0.14131583448413226,-0.1746063765531245,-0.14779860655444843,-0.14703807320165796,-0.007800514461232276,-1.7404880930336217,0.05659517787806684,-0.002188170009817081,-3.189326914814678,-0.06122557710942246,-0.0009313385335482181,-0.1746063765531245,0.11892708450550513,-34.51724970906141,-3.3660739044589527,-0.09164780978974174,-0.15617468966984327,,,,,
4,age_first_child:>=30,3280,0.8614347026364194,0.4265011358322376,0.5555555555555556,0.0032555669131898836,-49.708335974465626,452,0.0013812747469101492,0.4444444444444444,True,2810,0.010778249086838694,0.848079268292683,18,-21.481027317937183,0.6924283410013173,0.11768685366102703,-24.808297567954213,0.30251302010928155,0.005766202716119569,8,0.7846984926126321,0.85880195599022,0.21530150738736786,0.38112352389192106,-0.9643622919082715,0.21530150738736786,0.6449189402926058,1.8510813895447344,2820,-14.603336066077135,0.018839133149856382,-17.428477825853328,-0.9790625963613938,0.8591463414634146,0.3075716589986827,-32.59355620155038,0.06507656655055548,0.849101192119516,0.9168045417760594,3262,-0.990451486830068,0.993488297026283,0.4444444444444444,0.652939573540432,1.7760568425109087,0.5343151291576915,0.8731161893096767,0.03347280334728033,0.8614347026364194,0.534686433182752,0.0006528050042200987,0.00548780487804878,1.4369132784165168,1.1142051816619776,0.3583019743072366,0.9964539007092199,460,0.008659281365492957,3.207472959685349,0.8737420111163652,0.017391304347826087,0.8511364394157516,0.000983284169124877,0.15089880788048404,4.367255289217197,0.4444444444444444,0.7322227577166253,0.7711927138981117,0.6924283410013173,0.9288248895782977,0.3508660178293392,0.13856529736358061,0.8487249846465182,4.9734513274336285,10,3.207472959685349,0.018434390011014015,1.94680822379508,0.12688381069032317,10.922473355966503,0.9240381453469255,0.8694969512195122,0.6924283410013173,4.800051921079958,0.652939573540432,0.007537478961152916,0.21530150738736786,0.03397911524860222,0.9982982380348431,1,0.463202908876994,0.032487028379706406,-0.6158907968630596,-2.2336616239978957,-0.42358646204367945,-0.33333333333333337,-0.14318913334941502,-0.036745051526112085,-0.1847246779408933,-0.24645915147076503,-0.10973096509775306,0.1402439024390244,-0.33333333333333337,3.0763093932474836,-0.16252600627989283,-0.7009773029387358,,>=30,,,,,,,,,,,-0.5894955289175117,0.016483133854806153,-0.0002393830229987133,-8.963232922306267,-15.878661021222563,-0.16359142800459125,-0.571012996320962,-0.010110199675457565,-0.15659324223235105,-0.031189824056757354,0.016483133854806153,-0.019660399161711473,-0.16104675228329313,-0.00039065914784331204,-1.0852543788801832,-0.053638936957908834,-0.0021951504088465468,-2.249126441686703,-0.012496034819432861,-0.0013071797072813033,0.016483133854806153,0.12752610362313194,-4.552681431990562,-1.8233310467076334,-0.09817010912881285,-0.05657535582298434,,,,,
5,age_group:45-49,2561,0.8804091266719118,0.302927776402815,0.15789473684210525,0.004472446191960909,-24.043909248314705,304,0.003333188153310104,0.8421052631578947,True,2238,0.04327668057296697,0.8683033971105037,19,-13.402791005838747,0.9661737509982353,0.24138940711351986,-15.278665783262245,0.2527907432869421,0.029908118173187972,16,0.3957845512666835,0.8793713163064834,0.6042154487333166,2.4118507206043645,-0.925241143058979,0.6042154487333166,0.17934245802172993,3.751207297444648,2241,-8.888469969647455,0.1326009113851875,-10.807998098099032,-0.9486613119143239,0.880124951190941,0.033826249001764654,-26.941393748631803,0.18750599480042146,0.8671585091591062,0.9281506422817021,2542,-0.965506973420462,0.9960928165997234,0.8421052631578947,0.8612571949149033,5.15599581339713,0.7845295449236693,0.8927762151409748,0.0943952802359882,0.8804091266719118,0.7767947745235562,0.0024216688397201993,0.00741897696212417,5.719532284181353,3.0464449673115355,0.2737032382451262,0.998661311914324,320,0.01156150618596658,7.041551246537395,0.889893931303791,0.05,0.3327694806569224,0.002770083102493075,0.13284149084089386,8.301880323841067,0.8421052631578947,0.940547703180212,0.9457196153062504,0.9661737509982353,0.9433107877196667,0.0,0.11959087332808813,0.8710447650758417,39.263157894736835,3,7.041551246537395,0.061789585391400774,21.70796031612578,0.10722378485902474,,0.9358143424628893,0.8894670050761422,0.9661737509982353,8.495339961822324,0.8612571949149033,0.028845901428540755,0.6042154487333166,0.07992853850509977,0.9997238452045638,1,0.41597901859651654,0.4118495059532441,-0.28951547234411534,-2.4802077869019317,-0.20024372506006027,0.08800690250215704,-0.14983368388159854,0.07182333187905118,-0.1935369363627577,-0.04424051054373897,0.41230949401794936,0.12495119094103865,0.08800690250215704,3.2344359712787187,-0.17542739873546723,-0.26097996235605264,,,45-49,,,,,,,,,,-0.20058158757156305,-0.25726227614211183,-0.04359457840338547,-14.678099018735947,-22.499140748976856,-0.1797433481920171,-0.05264603756213293,-0.049231348524750085,-0.17656329608898103,-0.15489237750925017,-0.25726227614211183,-0.22798534462529818,-0.18070677811459124,-0.0032928839683169352,-2.9853802867800967,0.06993442247151377,-0.0036207575785672796,-5.944414482429069,-0.05844545807593042,-0.003259093113681258,-0.25726227614211183,0.14558342066272212,,-5.757956081331503,-0.11265600727018188,-0.231102257231123,,,,,
6,age_group:60-64,5405,0.6124437781109445,0.4153730288668553,0.14492753623188406,0.00994588433702295,-39.94394027094041,2068,0.00045500916278654177,0.855072463768116,True,3268,0.025568650919466192,0.6072617946345976,69,-18.00198270430002,0.9282508601079361,0.1261321491968274,-29.50537231384307,0.39351237166701686,0.020674527748417566,59,0.2504199467162966,0.6112981668537224,0.7495800532837034,0.48936035319760807,-0.9637805046352883,0.7495800532837034,0.23663810689514486,0.772171826683118,3278,-15.065484894357427,0.08667982894669309,-23.64789554409268,-0.9692107603997875,0.615541165587419,0.0717491398920639,-25.26997130663353,0.10743380054081801,0.5992194954162264,0.7510732476505569,5336,-0.9742954796171442,0.9943969421457597,0.855072463768116,0.7337581209395303,2.0405780874371073,0.6884955545369165,0.6255449564688693,0.05373406193078324,0.6124437781109445,0.69141546457489,0.00037435718666336914,0.01276595744680851,2.026457806396891,0.6185538718955286,0.4023548804993231,0.9969493593654668,2127,0.016128696438343516,2.2063185041908446,0.6254703812949501,0.02773859896567936,0.31831307201170217,0.0004134779805455106,0.4007805045837736,2.45847727904294,0.855072463768116,0.7603930236341672,0.7761007773041706,0.9282508601079361,0.7661036041167324,0.1255928844926215,0.3875562218890555,0.5965589745557365,9.323597678916826,10,2.2063185041908446,0.033916602099429455,5.488386931958271,0.3744550435311307,20.86176728465049,0.758764801485953,0.6261887141535616,0.9282508601079361,2.436605948944361,0.7337581209395303,0.021181472297546494,0.7495800532837034,0.035636311748878574,0.9985361598760873,1,1.4670566181548124,0.25502780313356455,-0.035315462119667955,-0.7397430070751918,0.02831015642556991,0.12173913043478268,0.1454127529787364,0.19659683046234128,0.10132786115261887,0.12254492012244989,0.2741458678522298,0.3935245143385754,0.12173913043478268,3.652045944006458,0.12528366427954352,-0.05865309870462631,,,60-64,,,,,,,,,,-0.05521698302117614,-0.21933938525181262,-0.015721595111414154,-8.501084094025975,-9.65924330298321,0.08468020181682379,-0.03818962891691269,-0.010691986948440757,0.08671499483359957,-0.03963511959255771,-0.21933938525181262,-0.047830665079253376,0.08652448055751427,-0.007860074220693871,-0.006344816018566846,-0.04251082999252653,-0.0024330722500908175,0.11431953044889376,-0.014153231319709216,-0.0003809141231576958,-0.21933938525181262,-0.12235559308015764,-14.49197536067455,0.0854469634666235,0.06455117633275242,-0.06148341922904321,,,,,
7,age_group:50-54,6776,0.7694708680142688,0.37615012266394365,0.22916666666666666,0.005227538390349467,-44.71063220624671,1551,0.0005508242909151948,0.7708333333333334,True,5177,0.019583599125475703,0.7627582644628099,48,-24.430142687277044,0.8796698331742108,0.1377646353884697,-31.77383075703527,0.3347543786242501,0.01386946724874066,37,0.3731202473158602,0.7682148686748775,0.6268797526841396,0.9446581347909626,-0.9685319779204994,0.6268797526841396,0.29782370742386194,1.4221529158094806,5188,-18.653034010171936,0.07087358866454625,-24.848884646647978,-0.9745799743255604,0.7694805194805194,0.1203301668257892,-33.13700601865829,0.10697362721242247,0.7592171183011787,0.8631481646057535,6728,-0.9818009074742927,0.9962094119425489,0.7708333333333334,0.770152100673801,2.730934623756387,0.7233096922948878,0.7794905583178662,0.045232273838630814,0.7694708680142688,0.7098623768578045,0.000416942061798323,0.0070838252656434475,2.9136580222541277,1.1845883708857907,0.3535325085197561,0.9978797224363917,1588,0.009381274586216983,3.343756716097142,0.7774411393520433,0.023299748110831235,0.4942651712033217,0.0004969911884805502,0.24078288169882142,3.827280761659904,0.7708333333333334,0.8353740897658937,0.8304418244897975,0.8796698331742108,0.8721794299245433,0.17310058071047368,0.23052913198573127,0.7561207911839297,11.227302033878438,11,3.343756716097142,0.027278575622536078,6.292919638691797,0.2205094416821338,22.809617589725924,0.8689157435381001,0.7780548996458088,0.8796698331742108,3.735390024831956,0.7701521006738011,0.016456984067961426,0.6268797526841396,0.031973694738513886,0.9989411047538134,1,0.7803788913520073,0.17075492828847286,-0.17925160978103716,-1.3331326775071193,-0.12761915758032893,0.013586956521739135,-0.044673605209678675,0.06301530937112147,-0.08624574891553788,-0.02584537741924145,0.210780137423858,0.23435655253837073,0.013586956521739135,2.844339679537637,-0.06595468747011762,-0.2919560811659907,,,50-54,,,,,,,,,,-0.17791728362073975,-0.17075835831808728,-0.009083568634520776,-4.913534978211466,-8.458254200427913,-0.06729055624026936,-0.21414172810853221,-0.005940513663229674,-0.0651511906586476,-0.05126760578420002,-0.17075835831808728,-0.12281173121097988,-0.06742112129148259,-0.0011126523685673385,-0.6563259051449294,-0.0032879237896148994,-0.0028380171278168387,-1.184464545438701,-0.010490614309344528,-0.00047672925128634883,-0.17075835831808728,0.03764202980479456,-16.439825665749986,-1.2833565191503404,-0.04152464947505852,-0.11582446641467015,,,,,
8,age_group:70-74,3925,0.7721324095458044,0.3943364667285838,0.35714285714285715,0.0047454123851308795,-51.678097745805054,888,0.000902353947354458,0.6428571428571429,True,3009,0.015319766916341768,0.7542292993630573,28,-24.237050478389975,0.8135933399995547,0.13140759157578047,-31.301862238351852,0.35192033257579014,0.010797475384116389,18,0.5593496872537332,0.7701561300230356,0.4406503127462668,0.533342252084198,-0.9693646060999916,0.4406503127462668,0.462540948582823,1.2305472087283211,3019,-18.355863592033995,0.05910475991633149,-23.568033145985424,-0.9768200952466608,0.7712101910828025,0.18640666000044526,-35.94232624572184,0.08288686741895629,0.7586332077552911,0.8616452709203306,3897,-0.9853556991060449,0.9939169244348142,0.6428571428571429,0.7074947762014736,2.0485941736289743,0.6171645666835094,0.7852223379127836,0.03854389721627409,0.7721324095458044,0.6168871785259761,0.0004766076575657896,0.0071337579617834395,2.158161198088342,0.922183581720299,0.37318459321697034,0.996687644915535,906,0.0102938807979458,2.821187258687259,0.7795449752298771,0.019867549668874173,0.7263462476388632,0.000723938223938224,0.24136679224470933,3.4986233960299398,0.6428571428571429,0.78405691717327,0.7981023738769711,0.8135933399995547,0.8764604546658874,0.26445540585303595,0.22786759045419552,0.7588388970885808,6.099324324324324,10,2.821187258687259,0.02386820474871284,3.2438833479498186,0.21477766208721613,15.79734249078624,0.8701561596298439,0.7861273885350318,0.8135933399995547,3.334116956549315,0.7074947762014736,0.011816228618702998,0.4406503127462668,0.031218099483998635,0.9984104894183617,1,0.7832249311014533,0.3166268997663046,-0.5683958653720123,-1.3277698015266275,-0.269922937295444,-0.12741312741312738,-0.03975182358294111,0.07265318559390727,-0.09101542202043349,-0.09484721137414301,0.29192821017752163,0.230828025477707,-0.12741312741312738,2.8629123869995197,-0.06388683396004399,-0.3527589058668144,,,70-74,,,,,,,,,,-0.3641467235586128,-0.10468186514343125,-0.0056731977606975376,-5.210705396349407,-9.739105701090466,-0.06939439211810317,-0.44622280454407376,-0.005107885483737418,-0.07322367954787068,-0.04491056197151079,-0.10468186514343125,-0.07149455861835619,-0.07315290088640003,-0.002025258580296155,-0.46472019806376996,-0.021474267854255047,-0.0023074017923652157,-0.7831914771560604,-0.009735019054829278,-0.000828258907725612,-0.10468186514343125,0.03705811925890665,-9.4275505668103,-0.9546991535203762,-0.04580567421640258,-0.08348501580184375,,,,,
9,age_group:55-59,7640,0.6645544554455446,0.40954718976136406,0.24615384615384617,0.006572143312036327,-50.00480105401846,2541,0.00032345776297937215,0.7538461538461538,True,5034,0.016356195099650597,0.6592048429319372,65,-25.72730134551917,0.8522769454002584,0.09537058054116412,-38.676019294237115,0.3848467682793504,0.012695588747637864,49,0.3687285825938409,0.6631537346858122,0.6312714174061591,0.46974882868048,-0.9695008094346506,0.6312714174061591,0.3704043274961034,0.7991613620254882,5050,-21.141932112927826,0.05999125534387538,-31.953605808431405,-0.9779127642493979,0.6653141361256545,0.14772305459974155,-31.866379861665084,0.08117919382459113,0.6537942405784833,0.7892761459173327,7575,-0.9833435004165592,0.9948599379163549,0.7538461538461538,0.7092003046458493,1.973810079360292,0.676837876387322,0.6751879136557314,0.036911487758945385,0.6645544554455446,0.656164888877608,0.0002545823206753753,0.008507853403141362,1.9760146813059265,0.6346926960698338,0.4001441935716591,0.9968316831683168,2590,0.01083127511223607,2.2472981563890655,0.6714228158476174,0.01891891891891892,0.5088007643794578,0.0002966730239457512,0.34620575942151655,2.532586668734443,0.7538461538461538,0.7539937445297825,0.7622357204140903,0.8522769454002584,0.8062845172274025,0.24679402621955998,0.33544554455445547,0.6548414163869386,6.0671487603305785,16,2.2472981563890655,0.020039225964467115,3.3108952875194717,0.32481208634426845,9.969995851088159,0.7974653465346534,0.6749509162303665,0.8522769454002584,2.4999112601115505,0.709200304645849,0.014028272952140519,0.6312714174061591,0.02493542437864583,0.9981879821471538,1,1.240770931747016,0.12905094101585757,-0.27947959236333275,-0.8541326053012273,-0.06479558020204114,-0.0067716067716068196,0.08496800272981048,0.1336132734126519,0.046662776601868634,0.03005093891094479,0.18534248560958633,0.3390052356020942,-0.0067716067716068196,3.312279181102162,0.06578378357728576,-0.15886822477491447,,,55-59,,,,,,,,,,-0.17352561889872045,-0.14336547054413495,-0.0018442189764518134,-2.424636875455576,-1.3535330386444855,0.0387277672641565,-0.22867732128466828,-0.004971682149078505,0.03795279275679464,-0.008873550936894445,-0.14336547054413495,-0.04143138597486873,0.0368815233706522,-0.002562652894586426,-0.03333435136093699,-0.03668499088703531,-0.0020848945211572323,0.05101421928170424,-0.0034523439494764732,-0.00024936272335052617,-0.14336547054413495,-0.06778084791790057,-3.6002039271122186,0.011337573775120457,0.024370263222082356,-0.04761836233896288,,,,,
