,description,size,kolmogorov_smirnoff_confidence_score_statistic,kolmogorov_smirnoff_malignancy_score_statistic,kolmogorov_smirnoff_outlier_score_statistic,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,worst_area,worst_compactness,worst_concave_points,worst_concavity,worst_fractal_dimension,worst_perimeter,worst_radius,worst_smoothness,worst_symmetry,worst_texture
651,mean_concave_points:q00-20  worst_concavity:q20-40,32,-0.2596601489757914,0.516236033519553,0.516236033519553,,,q00-20,,,,,,,,,,,q20-40,,,,,,
652,mean_concave_points:q00-20  worst_concavity:q00-20,72,-0.31544824502570984,0.5883076235188911,0.5883076235188911,,,q00-20,,,,,,,,,,,q00-20,,,,,,
653,mean_concave_points:q80-100  worst_fractal_dimension:q80-100,43,-0.1405075603501636,-0.7395437262357415,-0.7395437262357415,,,q80-100,,,,,,,,,,,,q80-100,,,,,
654,mean_concave_points:q80-100  worst_fractal_dimension:q60-80,31,-0.4062837270655954,-0.7602230483271375,-0.7602230483271375,,,q80-100,,,,,,,,,,,,q60-80,,,,,
655,mean_concave_points:q60-80  worst_fractal_dimension:q80-100,41,0.4840631929046563,-0.5700757575757576,-0.5700757575757576,,,q60-80,,,,,,,,,,,,q80-100,,,,,
656,mean_concave_points:q60-80  worst_fractal_dimension:q60-80,24,0.3124617737003058,-0.47155963302752296,-0.47155963302752296,,,q60-80,,,,,,,,,,,,q60-80,,,,,
657,mean_concave_points:q40-60  worst_fractal_dimension:q60-80,30,0.16740878169449597,0.3636982065553494,0.3636982065553494,,,q40-60,,,,,,,,,,,,q60-80,,,,,
658,mean_concave_points:q40-60  worst_fractal_dimension:q20-40,21,0.25738616614529025,0.35036496350364965,0.35036496350364965,,,q40-60,,,,,,,,,,,,q20-40,,,,,
659,mean_concave_points:q40-60  worst_fractal_dimension:q00-20,23,0.3133460742156394,0.336996336996337,0.336996336996337,,,q40-60,,,,,,,,,,,,q00-20,,,,,
660,mean_concave_points:q40-60  worst_fractal_dimension:q40-60,23,0.1788501353718745,0.304029304029304,0.304029304029304,,,q40-60,,,,,,,,,,,,q40-60,,,,,
661,mean_concave_points:q20-40  worst_fractal_dimension:q20-40,31,-0.15115721309509533,0.4788943518407483,0.4788943518407483,,,q20-40,,,,,,,,,,,,q20-40,,,,,
662,mean_concave_points:q20-40  worst_fractal_dimension:q00-20,29,0.19731800766283525,0.40510855683269476,0.40510855683269476,,,q20-40,,,,,,,,,,,,q00-20,,,,,
663,mean_concave_points:q20-40  worst_fractal_dimension:q40-60,26,-0.20696982575435613,0.47903385748689614,0.47903385748689614,,,q20-40,,,,,,,,,,,,q40-60,,,,,
664,mean_concave_points:q00-20  worst_fractal_dimension:q20-40,34,-0.294282572842221,0.5267179769103904,0.5267179769103904,,,q00-20,,,,,,,,,,,,q20-40,,,,,
665,mean_concave_points:q00-20  worst_fractal_dimension:q00-20,37,-0.2854602723023776,0.5451127819548872,0.5451127819548872,,,q00-20,,,,,,,,,,,,q00-20,,,,,
666,mean_concave_points:q00-20  worst_fractal_dimension:q40-60,29,-0.25842911877394636,0.5469987228607919,0.5469987228607919,,,q00-20,,,,,,,,,,,,q40-60,,,,,
667,mean_concave_points:q80-100  worst_perimeter:q80-100,85,-0.4468643655809431,-0.8432668935342732,-0.8432668935342732,,,q80-100,,,,,,,,,,,,,q80-100,,,,
668,mean_concave_points:q80-100  worst_perimeter:q60-80,25,0.2848529411764706,-0.67875,-0.67875,,,q80-100,,,,,,,,,,,,,q60-80,,,,
669,mean_concave_points:q60-80  worst_perimeter:q80-100,27,-0.23759737597375974,-0.7415607489408227,-0.7415607489408227,,,q60-80,,,,,,,,,,,,,q80-100,,,,
670,mean_concave_points:q60-80  worst_perimeter:q40-60,23,0.6978021978021978,-0.4706959706959707,-0.4706959706959707,,,q60-80,,,,,,,,,,,,,q40-60,,,,
671,mean_concave_points:q60-80  worst_perimeter:q60-80,53,0.4474915898786017,-0.6458607576422407,-0.6458607576422407,,,q60-80,,,,,,,,,,,,,q60-80,,,,
672,mean_concave_points:q40-60  worst_perimeter:q40-60,39,0.3235123367198839,0.3867924528301887,0.3867924528301887,,,q40-60,,,,,,,,,,,,,q40-60,,,,
673,mean_concave_points:q40-60  worst_perimeter:q60-80,29,0.7469987228607918,-0.562962962962963,-0.562962962962963,,,q40-60,,,,,,,,,,,,,q60-80,,,,
674,mean_concave_points:q40-60  worst_perimeter:q20-40,31,-0.19612663388895551,0.42936802973977695,0.42936802973977695,,,q40-60,,,,,,,,,,,,,q20-40,,,,
675,mean_concave_points:q20-40  worst_perimeter:q40-60,33,-0.14744459520578923,0.48134328358208955,0.48134328358208955,,,q20-40,,,,,,,,,,,,,q40-60,,,,
676,mean_concave_points:q20-40  worst_perimeter:q00-20,32,-0.259834729981378,0.4719506517690875,0.4719506517690875,,,q20-40,,,,,,,,,,,,,q00-20,,,,
677,mean_concave_points:q20-40  worst_perimeter:q20-40,44,-0.197012987012987,0.4990476190476191,0.4990476190476191,,,q20-40,,,,,,,,,,,,,q20-40,,,,
678,mean_concave_points:q00-20  worst_perimeter:q00-20,62,-0.2928357829102246,0.5818540433925049,0.5818540433925049,,,q00-20,,,,,,,,,,,,,q00-20,,,,
679,mean_concave_points:q00-20  worst_perimeter:q20-40,35,-0.3098983413590155,0.5458533975387908,0.5458533975387908,,,q00-20,,,,,,,,,,,,,q20-40,,,,
680,mean_concave_points:q80-100  worst_radius:q80-100,83,-0.4403787991472061,-0.8415885765283355,-0.8415885765283355,,,q80-100,,,,,,,,,,,,,,q80-100,,,
681,mean_concave_points:q80-100  worst_radius:q60-80,26,0.2918260376823913,-0.6816121263635075,-0.6816121263635075,,,q80-100,,,,,,,,,,,,,,q60-80,,,
682,mean_concave_points:q60-80  worst_radius:q80-100,28,-0.2064959070504357,-0.7356746765249538,-0.7356746765249538,,,q60-80,,,,,,,,,,,,,,q80-100,,,
683,mean_concave_points:q60-80  worst_radius:q40-60,24,0.6990825688073394,-0.47155963302752296,-0.47155963302752296,,,q60-80,,,,,,,,,,,,,,q40-60,,,
684,mean_concave_points:q60-80  worst_radius:q60-80,48,0.419585732565579,-0.6147632757517595,-0.6147632757517595,,,q60-80,,,,,,,,,,,,,,q60-80,,,
685,mean_concave_points:q40-60  worst_radius:q40-60,34,0.32770753161077515,0.38317757009345793,0.38317757009345793,,,q40-60,,,,,,,,,,,,,,q40-60,,,
686,mean_concave_points:q40-60  worst_radius:q60-80,30,0.7144094001236858,-0.4732220160791589,-0.4732220160791589,,,q40-60,,,,,,,,,,,,,,q60-80,,,
687,mean_concave_points:q40-60  worst_radius:q20-40,33,-0.2435549525101764,0.46132971506105835,0.46132971506105835,,,q40-60,,,,,,,,,,,,,,q20-40,,,
688,mean_concave_points:q20-40  worst_radius:q40-60,34,-0.19961517317207256,0.508411214953271,0.508411214953271,,,q20-40,,,,,,,,,,,,,,q40-60,,,
689,mean_concave_points:q20-40  worst_radius:q00-20,33,-0.23518769787426505,0.47484170058796926,0.47484170058796926,,,q20-40,,,,,,,,,,,,,,q00-20,,,
