,description,size,kolmogorov_smirnoff_confidence_score_statistic,kolmogorov_smirnoff_malignancy_score_statistic,kolmogorov_smirnoff_outlier_score_statistic,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,worst_area,worst_compactness,worst_concave_points,worst_concavity,worst_fractal_dimension,worst_perimeter,worst_radius,worst_smoothness,worst_symmetry,worst_texture
11,mean_area:q60-80  mean_compactness:q60-80  mean_concavity:q60-80,20,0.3097449908925319,-0.5628415300546448,-0.5628415300546448,q60-80,q60-80,,q60-80,,,,,,,,,,,,,,,,
12,mean_area:q80-100  mean_compactness:q60-80  mean_fractal_dimension:q00-20,20,-0.3889799635701275,-0.769672131147541,-0.769672131147541,q80-100,q60-80,,,q00-20,,,,,,,,,,,,,,,
13,mean_area:q60-80  mean_compactness:q80-100  mean_fractal_dimension:q80-100,20,0.296448087431694,-0.6357012750455373,-0.6357012750455373,q60-80,q80-100,,,q80-100,,,,,,,,,,,,,,,
14,mean_area:q80-100  mean_compactness:q80-100  mean_perimeter:q80-100,47,-0.45471590445911797,-0.7854406130268199,-0.7854406130268199,q80-100,q80-100,,,,q80-100,,,,,,,,,,,,,,
15,mean_area:q80-100  mean_compactness:q60-80  mean_perimeter:q80-100,38,-0.33001288532064627,-0.7589453860640302,-0.7589453860640302,q80-100,q60-80,,,,q80-100,,,,,,,,,,,,,,
16,mean_area:q00-20  mean_compactness:q20-40  mean_perimeter:q00-20,28,-0.3309347768682334,0.5410615262740955,0.5410615262740955,q00-20,q20-40,,,,q00-20,,,,,,,,,,,,,,
17,mean_area:q00-20  mean_compactness:q40-60  mean_perimeter:q00-20,20,-0.22604735883424407,0.5328779599271403,0.5328779599271403,q00-20,q40-60,,,,q00-20,,,,,,,,,,,,,,
18,mean_area:q00-20  mean_compactness:q00-20  mean_perimeter:q00-20,41,-0.30704915003695493,0.5968218773096822,0.5968218773096822,q00-20,q00-20,,,,q00-20,,,,,,,,,,,,,,
19,mean_area:q20-40  mean_compactness:q20-40  mean_perimeter:q20-40,31,-0.2876244153975297,0.5245832833673102,0.5245832833673102,q20-40,q20-40,,,,q20-40,,,,,,,,,,,,,,
20,mean_area:q20-40  mean_compactness:q40-60  mean_perimeter:q20-40,28,-0.30195405334037495,0.5304990757855823,0.5304990757855823,q20-40,q40-60,,,,q20-40,,,,,,,,,,,,,,
21,mean_area:q20-40  mean_compactness:q00-20  mean_perimeter:q20-40,29,-0.3136653895274585,0.5370370370370371,0.5370370370370371,q20-40,q00-20,,,,q20-40,,,,,,,,,,,,,,
22,mean_area:q40-60  mean_compactness:q20-40  mean_perimeter:q40-60,30,0.13197278911564625,0.39721706864564005,0.39721706864564005,q40-60,q20-40,,,,q40-60,,,,,,,,,,,,,,
23,mean_area:q40-60  mean_compactness:q40-60  mean_perimeter:q40-60,22,0.1897955791922885,0.3883164367625062,0.3883164367625062,q40-60,q40-60,,,,q40-60,,,,,,,,,,,,,,
24,mean_area:q40-60  mean_compactness:q00-20  mean_perimeter:q40-60,23,0.23546743111960503,0.4725274725274725,0.4725274725274725,q40-60,q00-20,,,,q40-60,,,,,,,,,,,,,,
25,mean_area:q60-80  mean_compactness:q80-100  mean_perimeter:q60-80,33,0.20160560832202623,-0.6436567164179104,-0.6436567164179104,q60-80,q80-100,,,,q60-80,,,,,,,,,,,,,,
26,mean_area:q60-80  mean_compactness:q60-80  mean_perimeter:q60-80,26,0.3606034849128772,-0.569060773480663,-0.569060773480663,q60-80,q60-80,,,,q60-80,,,,,,,,,,,,,,
27,mean_area:q60-80  mean_compactness:q40-60  mean_perimeter:q60-80,24,0.6291284403669725,-0.5284403669724771,-0.5284403669724771,q60-80,q40-60,,,,q60-80,,,,,,,,,,,,,,
28,mean_area:q80-100  mean_compactness:q80-100  mean_radius:q80-100,47,-0.45471590445911797,-0.7854406130268199,-0.7854406130268199,q80-100,q80-100,,,,,q80-100,,,,,,,,,,,,,
29,mean_area:q80-100  mean_compactness:q60-80  mean_radius:q80-100,39,-0.33715529753265605,-0.7603773584905661,-0.7603773584905661,q80-100,q60-80,,,,,q80-100,,,,,,,,,,,,,
30,mean_area:q00-20  mean_compactness:q20-40  mean_radius:q00-20,28,-0.3309347768682334,0.5410615262740955,0.5410615262740955,q00-20,q20-40,,,,,q00-20,,,,,,,,,,,,,
31,mean_area:q00-20  mean_compactness:q40-60  mean_radius:q00-20,20,-0.22604735883424407,0.5328779599271403,0.5328779599271403,q00-20,q40-60,,,,,q00-20,,,,,,,,,,,,,
32,mean_area:q00-20  mean_compactness:q00-20  mean_radius:q00-20,40,-0.3058128544423441,0.5950378071833649,0.5950378071833649,q00-20,q00-20,,,,,q00-20,,,,,,,,,,,,,
33,mean_area:q20-40  mean_compactness:q20-40  mean_radius:q20-40,33,-0.3136024423337856,0.536917684305744,0.536917684305744,q20-40,q20-40,,,,,q20-40,,,,,,,,,,,,,
34,mean_area:q20-40  mean_compactness:q40-60  mean_radius:q20-40,28,-0.30195405334037495,0.5304990757855823,0.5304990757855823,q20-40,q40-60,,,,,q20-40,,,,,,,,,,,,,
35,mean_area:q20-40  mean_compactness:q00-20  mean_radius:q20-40,30,-0.315460729746444,0.5380333951762524,0.5380333951762524,q20-40,q00-20,,,,,q20-40,,,,,,,,,,,,,
36,mean_area:q40-60  mean_compactness:q20-40  mean_radius:q40-60,31,0.13676699844106008,0.4013670703921334,0.4013670703921334,q40-60,q20-40,,,,,q40-60,,,,,,,,,,,,,
37,mean_area:q40-60  mean_compactness:q40-60  mean_radius:q40-60,22,0.1897955791922885,0.3883164367625062,0.3883164367625062,q40-60,q40-60,,,,,q40-60,,,,,,,,,,,,,
38,mean_area:q40-60  mean_compactness:q00-20  mean_radius:q40-60,27,0.17814678146781468,0.47601476014760147,0.47601476014760147,q40-60,q00-20,,,,,q40-60,,,,,,,,,,,,,
39,mean_area:q60-80  mean_compactness:q80-100  mean_radius:q60-80,35,0.18667736757624398,-0.6460674157303371,-0.6460674157303371,q60-80,q80-100,,,,,q60-80,,,,,,,,,,,,,
40,mean_area:q60-80  mean_compactness:q60-80  mean_radius:q60-80,26,0.3606034849128772,-0.569060773480663,-0.569060773480663,q60-80,q60-80,,,,,q60-80,,,,,,,,,,,,,
41,mean_area:q60-80  mean_compactness:q40-60  mean_radius:q60-80,24,0.6291284403669725,-0.5284403669724771,-0.5284403669724771,q60-80,q40-60,,,,,q60-80,,,,,,,,,,,,,
42,mean_area:q80-100  mean_compactness:q80-100  mean_smoothness:q80-100,24,-0.46085626911314986,-0.7522935779816514,-0.7522935779816514,q80-100,q80-100,,,,,,q80-100,,,,,,,,,,,,
43,mean_area:q00-20  mean_compactness:q00-20  mean_smoothness:q00-20,20,-0.3205828779599271,0.5646630236794171,0.5646630236794171,q00-20,q00-20,,,,,,q00-20,,,,,,,,,,,,
44,mean_area:q40-60  mean_compactness:q00-20  mean_smoothness:q00-20,21,0.25825512686826557,0.4708029197080292,0.4708029197080292,q40-60,q00-20,,,,,,q00-20,,,,,,,,,,,,
45,mean_area:q80-100  mean_compactness:q80-100  mean_symmetry:q80-100,21,-0.3679179701077511,-0.7481751824817519,-0.7481751824817519,q80-100,q80-100,,,,,,,q80-100,,,,,,,,,,,
46,mean_area:q80-100  mean_compactness:q80-100  mean_texture:q80-100,22,-0.47216220707994017,-0.7881834801396045,-0.7881834801396045,q80-100,q80-100,,,,,,,,q80-100,,,,,,,,,,
47,mean_area:q80-100  mean_compactness:q80-100  worst_area:q80-100,48,-0.4365802943058221,-0.7869481765834933,-0.7869481765834933,q80-100,q80-100,,,,,,,,,q80-100,,,,,,,,,
48,mean_area:q80-100  mean_compactness:q60-80  worst_area:q80-100,36,-0.40368980612883054,-0.7774650823431312,-0.7774650823431312,q80-100,q60-80,,,,,,,,,q80-100,,,,,,,,,
49,mean_area:q00-20  mean_compactness:q20-40  worst_area:q00-20,26,-0.368182462105114,0.5678566369174104,0.5678566369174104,q00-20,q20-40,,,,,,,,,q00-20,,,,,,,,,
50,mean_area:q00-20  mean_compactness:q00-20  worst_area:q00-20,38,-0.3032510655168996,0.5913866587372386,0.5913866587372386,q00-20,q00-20,,,,,,,,,q00-20,,,,,,,,,
51,mean_area:q20-40  mean_compactness:q20-40  worst_area:q20-40,25,-0.35463235294117645,0.59,0.59,q20-40,q20-40,,,,,,,,,q20-40,,,,,,,,,
52,mean_area:q20-40  mean_compactness:q40-60  worst_area:q20-40,22,-0.35491108525843446,0.5393053016453382,0.5393053016453382,q20-40,q40-60,,,,,,,,,q20-40,,,,,,,,,
53,mean_area:q20-40  mean_compactness:q00-20  worst_area:q20-40,28,-0.30195405334037495,0.5212569316081331,0.5212569316081331,q20-40,q00-20,,,,,,,,,q20-40,,,,,,,,,
54,mean_area:q40-60  mean_compactness:q20-40  worst_area:q40-60,24,-0.177217125382263,0.4972477064220184,0.4972477064220184,q40-60,q20-40,,,,,,,,,q40-60,,,,,,,,,
55,mean_area:q40-60  mean_compactness:q00-20  worst_area:q40-60,20,0.1989071038251366,0.5373406193078324,0.5373406193078324,q40-60,q00-20,,,,,,,,,q40-60,,,,,,,,,
56,mean_area:q60-80  mean_compactness:q80-100  worst_area:q60-80,24,0.3643730886850153,-0.6414373088685015,-0.6414373088685015,q60-80,q80-100,,,,,,,,,q60-80,,,,,,,,,
57,mean_area:q60-80  mean_compactness:q60-80  worst_area:q60-80,22,0.35516037892637525,-0.5813528336380256,-0.5813528336380256,q60-80,q60-80,,,,,,,,,q60-80,,,,,,,,,
58,mean_area:q60-80  mean_compactness:q40-60  worst_area:q60-80,20,0.613023679417122,-0.5245901639344263,-0.5245901639344263,q60-80,q40-60,,,,,,,,,q60-80,,,,,,,,,
59,mean_area:q80-100  mean_compactness:q80-100  worst_compactness:q80-100,36,-0.4629977069001459,-0.7868459453825307,-0.7868459453825307,q80-100,q80-100,,,,,,,,,,q80-100,,,,,,,,
60,mean_area:q80-100  mean_compactness:q60-80  worst_compactness:q60-80,24,-0.3570336391437309,-0.7761467889908257,-0.7761467889908257,q80-100,q60-80,,,,,,,,,,q60-80,,,,,,,,
61,mean_area:q00-20  mean_compactness:q00-20  worst_compactness:q00-20,35,-0.2991439272338149,0.5856607811663992,0.5856607811663992,q00-20,q00-20,,,,,,,,,,q00-20,,,,,,,,
62,mean_area:q20-40  mean_compactness:q00-20  worst_compactness:q00-20,23,-0.32831661092530656,0.5311355311355311,0.5311355311355311,q20-40,q00-20,,,,,,,,,,q00-20,,,,,,,,
63,mean_area:q60-80  mean_compactness:q80-100  worst_compactness:q80-100,28,0.19177449168207025,-0.7147478214945867,-0.7147478214945867,q60-80,q80-100,,,,,,,,,,q80-100,,,,,,,,
64,mean_area:q80-100  mean_compactness:q80-100  worst_concave_points:q80-100,39,-0.5151910982099661,-0.7958877600387034,-0.7958877600387034,q80-100,q80-100,,,,,,,,,,,q80-100,,,,,,,
65,mean_area:q80-100  mean_compactness:q60-80  worst_concave_points:q80-100,20,-0.4091985428051002,-0.804280510018215,-0.804280510018215,q80-100,q60-80,,,,,,,,,,,q80-100,,,,,,,
66,mean_area:q00-20  mean_compactness:q00-20  worst_concave_points:q00-20,37,-0.3019203413940256,0.5895143263564316,0.5895143263564316,q00-20,q00-20,,,,,,,,,,,q00-20,,,,,,,
67,mean_area:q60-80  mean_compactness:q80-100  worst_concave_points:q80-100,25,-0.22926470588235295,-0.7297794117647058,-0.7297794117647058,q60-80,q80-100,,,,,,,,,,,q80-100,,,,,,,
68,mean_area:q80-100  mean_compactness:q80-100  worst_concavity:q80-100,38,-0.4992070571910001,-0.8211418376449598,-0.8211418376449598,q80-100,q80-100,,,,,,,,,,,,q80-100,,,,,,
69,mean_area:q80-100  mean_compactness:q60-80  worst_concavity:q60-80,23,-0.3979136805223762,-0.7880235706322662,-0.7880235706322662,q80-100,q60-80,,,,,,,,,,,,q60-80,,,,,,
70,mean_area:q00-20  mean_compactness:q00-20  worst_concavity:q00-20,31,-0.30675140904185155,0.5774073629931646,0.5774073629931646,q00-20,q00-20,,,,,,,,,,,,q00-20,,,,,,
71,mean_area:q20-40  mean_compactness:q00-20  worst_concavity:q00-20,22,-0.3256606282200432,0.5301645338208409,0.5301645338208409,q20-40,q00-20,,,,,,,,,,,,q00-20,,,,,,
72,mean_area:q60-80  mean_compactness:q80-100  worst_concavity:q80-100,30,0.13970315398886826,-0.7013605442176871,-0.7013605442176871,q60-80,q80-100,,,,,,,,,,,,q80-100,,,,,,
73,mean_area:q80-100  mean_compactness:q80-100  worst_fractal_dimension:q80-100,21,-0.38416753562738964,-0.7481751824817519,-0.7481751824817519,q80-100,q80-100,,,,,,,,,,,,,q80-100,,,,,
74,mean_area:q60-80  mean_compactness:q80-100  worst_fractal_dimension:q80-100,24,0.14686544342507646,-0.6849388379204893,-0.6849388379204893,q60-80,q80-100,,,,,,,,,,,,,q80-100,,,,,
75,mean_area:q80-100  mean_compactness:q80-100  worst_perimeter:q80-100,47,-0.4315235999021766,-0.7854406130268199,-0.7854406130268199,q80-100,q80-100,,,,,,,,,,,,,,q80-100,,,,
76,mean_area:q80-100  mean_compactness:q60-80  worst_perimeter:q80-100,36,-0.37403585574317283,-0.7646966854283928,-0.7646966854283928,q80-100,q60-80,,,,,,,,,,,,,,q80-100,,,,
77,mean_area:q00-20  mean_compactness:q20-40  worst_perimeter:q00-20,25,-0.35463235294117645,0.5619852941176471,0.5619852941176471,q00-20,q20-40,,,,,,,,,,,,,,q00-20,,,,
78,mean_area:q00-20  mean_compactness:q00-20  worst_perimeter:q00-20,39,-0.3045476536042574,0.5932268988872762,0.5932268988872762,q00-20,q00-20,,,,,,,,,,,,,,q00-20,,,,
79,mean_area:q20-40  mean_compactness:q20-40  worst_perimeter:q20-40,27,-0.3030613639469728,0.5347820144868115,0.5347820144868115,q20-40,q20-40,,,,,,,,,,,,,,q20-40,,,,
80,mean_area:q20-40  mean_compactness:q40-60  worst_perimeter:q20-40,21,-0.30257212374000697,0.5237226277372263,0.5237226277372263,q20-40,q40-60,,,,,,,,,,,,,,q20-40,,,,
81,mean_area:q20-40  mean_compactness:q00-20  worst_perimeter:q20-40,25,-0.2913235294117647,0.5183823529411765,0.5183823529411765,q20-40,q00-20,,,,,,,,,,,,,,q20-40,,,,
82,mean_area:q40-60  mean_compactness:q20-40  worst_perimeter:q40-60,24,-0.177217125382263,0.4972477064220184,0.4972477064220184,q40-60,q20-40,,,,,,,,,,,,,,q40-60,,,,
83,mean_area:q60-80  mean_compactness:q80-100  worst_perimeter:q60-80,26,0.3323416914577136,-0.6353591160220995,-0.6353591160220995,q60-80,q80-100,,,,,,,,,,,,,,q60-80,,,,
84,mean_area:q60-80  mean_compactness:q60-80  worst_perimeter:q60-80,22,0.4024430779458202,-0.5648994515539305,-0.5648994515539305,q60-80,q60-80,,,,,,,,,,,,,,q60-80,,,,
85,mean_area:q60-80  mean_compactness:q40-60  worst_perimeter:q60-80,20,0.613023679417122,-0.5245901639344263,-0.5245901639344263,q60-80,q40-60,,,,,,,,,,,,,,q60-80,,,,
86,mean_area:q80-100  mean_compactness:q80-100  worst_radius:q80-100,48,-0.4365802943058221,-0.7869481765834933,-0.7869481765834933,q80-100,q80-100,,,,,,,,,,,,,,,q80-100,,,
87,mean_area:q80-100  mean_compactness:q60-80  worst_radius:q80-100,37,-0.38035968299126194,-0.7805324121113595,-0.7805324121113595,q80-100,q60-80,,,,,,,,,,,,,,,q80-100,,,
88,mean_area:q00-20  mean_compactness:q20-40  worst_radius:q00-20,26,-0.368182462105114,0.5678566369174104,0.5678566369174104,q00-20,q20-40,,,,,,,,,,,,,,,q00-20,,,
89,mean_area:q00-20  mean_compactness:q40-60  worst_radius:q00-20,20,-0.22604735883424407,0.5328779599271403,0.5328779599271403,q00-20,q40-60,,,,,,,,,,,,,,,q00-20,,,
90,mean_area:q00-20  mean_compactness:q00-20  worst_radius:q00-20,38,-0.3032510655168996,0.5913866587372386,0.5913866587372386,q00-20,q00-20,,,,,,,,,,,,,,,q00-20,,,
91,mean_area:q20-40  mean_compactness:q20-40  worst_radius:q20-40,25,-0.35463235294117645,0.59,0.59,q20-40,q20-40,,,,,,,,,,,,,,,q20-40,,,
92,mean_area:q20-40  mean_compactness:q40-60  worst_radius:q20-40,22,-0.35491108525843446,0.5393053016453382,0.5393053016453382,q20-40,q40-60,,,,,,,,,,,,,,,q20-40,,,
93,mean_area:q20-40  mean_compactness:q00-20  worst_radius:q20-40,28,-0.30195405334037495,0.5212569316081331,0.5212569316081331,q20-40,q00-20,,,,,,,,,,,,,,,q20-40,,,
94,mean_area:q40-60  mean_compactness:q20-40  worst_radius:q40-60,25,-0.18102941176470588,0.49816176470588236,0.49816176470588236,q40-60,q20-40,,,,,,,,,,,,,,,q40-60,,,
95,mean_area:q60-80  mean_compactness:q80-100  worst_radius:q60-80,27,0.2983463167965013,-0.6365313653136532,-0.6365313653136532,q60-80,q80-100,,,,,,,,,,,,,,,q60-80,,,
96,mean_area:q60-80  mean_compactness:q60-80  worst_radius:q60-80,21,0.354014598540146,-0.5802919708029197,-0.5802919708029197,q60-80,q60-80,,,,,,,,,,,,,,,q60-80,,,
97,mean_area:q60-80  mean_compactness:q40-60  worst_radius:q60-80,21,0.6166145290232882,-0.5255474452554745,-0.5255474452554745,q60-80,q40-60,,,,,,,,,,,,,,,q60-80,,,
98,mean_area:q60-80  mean_compactness:q80-100  worst_smoothness:q80-100,22,-0.21098554096725944,-0.7257769652650823,-0.7257769652650823,q60-80,q80-100,,,,,,,,,,,,,,,,q80-100,,
99,mean_area:q80-100  mean_compactness:q80-100  worst_symmetry:q80-100,21,-0.4668057003823427,-0.8082203684393465,-0.8082203684393465,q80-100,q80-100,,,,,,,,,,,,,,,,,q80-100,
100,mean_area:q60-80  mean_compactness:q80-100  worst_symmetry:q80-100,20,-0.19608378870673954,-0.7413479052823315,-0.7413479052823315,q60-80,q80-100,,,,,,,,,,,,,,,,,q80-100,
101,mean_area:q80-100  mean_concave_points:q80-100  mean_concavity:q80-100,60,-0.44135559921414536,-0.7917485265225933,-0.7917485265225933,q80-100,,q80-100,q80-100,,,,,,,,,,,,,,,,
102,mean_area:q80-100  mean_concave_points:q60-80  mean_concavity:q60-80,24,-0.22178899082568806,-0.7326452599388379,-0.7326452599388379,q80-100,,q60-80,q60-80,,,,,,,,,,,,,,,,
103,mean_area:q00-20  mean_concave_points:q00-20  mean_concavity:q00-20,44,-0.285974025974026,0.5774025974025974,0.5774025974025974,q00-20,,q00-20,q00-20,,,,,,,,,,,,,,,,
104,mean_area:q20-40  mean_concave_points:q20-40  mean_concavity:q20-40,23,-0.27902532250358336,0.562748845357541,0.562748845357541,q20-40,,q20-40,q20-40,,,,,,,,,,,,,,,,
105,mean_area:q20-40  mean_concave_points:q00-20  mean_concavity:q00-20,22,-0.34552102376599636,0.5301645338208409,0.5301645338208409,q20-40,,q00-20,q00-20,,,,,,,,,,,,,,,,
106,mean_area:q40-60  mean_concave_points:q20-40  mean_concavity:q20-40,20,-0.15500910746812385,0.46994535519125685,0.46994535519125685,q40-60,,q20-40,q20-40,,,,,,,,,,,,,,,,
107,mean_area:q60-80  mean_concave_points:q80-100  mean_concavity:q80-100,26,-0.17027907635642442,-0.7311233885819521,-0.7311233885819521,q60-80,,q80-100,q80-100,,,,,,,,,,,,,,,,
108,mean_area:q60-80  mean_concave_points:q60-80  mean_concavity:q60-80,25,0.31477941176470586,-0.5905147058823529,-0.5905147058823529,q60-80,,q60-80,q60-80,,,,,,,,,,,,,,,,
109,mean_area:q80-100  mean_concave_points:q80-100  mean_fractal_dimension:q00-20,20,-0.32459016393442625,-0.7540983606557377,-0.7540983606557377,q80-100,,q80-100,,q00-20,,,,,,,,,,,,,,,
110,mean_area:q80-100  mean_concave_points:q80-100  mean_fractal_dimension:q40-60,24,-0.46980122324159024,-0.7863914373088685,-0.7863914373088685,q80-100,,q80-100,,q40-60,,,,,,,,,,,,,,,
111,mean_area:q80-100  mean_concave_points:q60-80  mean_fractal_dimension:q00-20,20,0.24972677595628415,-0.7103825136612022,-0.7103825136612022,q80-100,,q60-80,,q00-20,,,,,,,,,,,,,,,
112,mean_area:q00-20  mean_concave_points:q00-20  mean_fractal_dimension:q60-80,22,-0.3611434269569553,0.589164035233505,0.589164035233505,q00-20,,q00-20,,q60-80,,,,,,,,,,,,,,,
113,mean_area:q80-100  mean_concave_points:q80-100  mean_perimeter:q80-100,76,-0.44656773780292514,-0.8358599338101846,-0.8358599338101846,q80-100,,q80-100,,,q80-100,,,,,,,,,,,,,,
114,mean_area:q80-100  mean_concave_points:q60-80  mean_perimeter:q80-100,30,0.18398268398268397,-0.7235621521335807,-0.7235621521335807,q80-100,,q60-80,,,q80-100,,,,,,,,,,,,,,
115,mean_area:q00-20  mean_concave_points:q20-40  mean_perimeter:q00-20,29,-0.2042145593869732,0.4648148148148148,0.4648148148148148,q00-20,,q20-40,,,q00-20,,,,,,,,,,,,,,
116,mean_area:q00-20  mean_concave_points:q00-20  mean_perimeter:q00-20,60,-0.28988212180746564,0.5795677799607073,0.5795677799607073,q00-20,,q00-20,,,q00-20,,,,,,,,,,,,,,
117,mean_area:q20-40  mean_concave_points:q40-60  mean_perimeter:q20-40,31,-0.24271495383139466,0.46774193548387094,0.46774193548387094,q20-40,,q40-60,,,q20-40,,,,,,,,,,,,,,
118,mean_area:q20-40  mean_concave_points:q20-40  mean_perimeter:q20-40,39,-0.279100145137881,0.5163038219641993,0.5163038219641993,q20-40,,q20-40,,,q20-40,,,,,,,,,,,,,,
119,mean_area:q20-40  mean_concave_points:q00-20  mean_perimeter:q20-40,28,-0.3550963823607077,0.5398072352785847,0.5398072352785847,q20-40,,q00-20,,,q20-40,,,,,,,,,,,,,,
120,mean_area:q40-60  mean_concave_points:q40-60  mean_perimeter:q40-60,33,0.2944369063772049,0.36007462686567165,0.36007462686567165,q40-60,,q40-60,,,q40-60,,,,,,,,,,,,,,
121,mean_area:q40-60  mean_concave_points:q20-40  mean_perimeter:q40-60,30,-0.1261595547309833,0.47866419294990725,0.47866419294990725,q40-60,,q20-40,,,q40-60,,,,,,,,,,,,,,
122,mean_area:q60-80  mean_concave_points:q80-100  mean_perimeter:q60-80,27,0.14452644526445266,-0.6935902692360257,-0.6935902692360257,q60-80,,q80-100,,,q60-80,,,,,,,,,,,,,,
123,mean_area:q60-80  mean_concave_points:q60-80  mean_perimeter:q60-80,42,0.3841149362970995,-0.5673624288425048,-0.5673624288425048,q60-80,,q60-80,,,q60-80,,,,,,,,,,,,,,
124,mean_area:q60-80  mean_concave_points:q40-60  mean_perimeter:q60-80,28,0.7067599683126485,-0.46950092421441775,-0.46950092421441775,q60-80,,q40-60,,,q60-80,,,,,,,,,,,,,,
125,mean_area:q80-100  mean_concave_points:q80-100  mean_radius:q80-100,75,-0.44323886639676113,-0.8329554655870446,-0.8329554655870446,q80-100,,q80-100,,,,q80-100,,,,,,,,,,,,,
126,mean_area:q80-100  mean_concave_points:q60-80  mean_radius:q80-100,32,0.19570530726256982,-0.7262569832402235,-0.7262569832402235,q80-100,,q60-80,,,,q80-100,,,,,,,,,,,,,
127,mean_area:q00-20  mean_concave_points:q20-40  mean_radius:q00-20,29,-0.2042145593869732,0.4648148148148148,0.4648148148148148,q00-20,,q20-40,,,,q00-20,,,,,,,,,,,,,
128,mean_area:q00-20  mean_concave_points:q00-20  mean_radius:q00-20,60,-0.28988212180746564,0.5795677799607073,0.5795677799607073,q00-20,,q00-20,,,,q00-20,,,,,,,,,,,,,
129,mean_area:q20-40  mean_concave_points:q40-60  mean_radius:q20-40,32,-0.24743947858472998,0.46968109869646185,0.46968109869646185,q20-40,,q40-60,,,,q20-40,,,,,,,,,,,,,
130,mean_area:q20-40  mean_concave_points:q20-40  mean_radius:q20-40,41,-0.2963322246858832,0.5236511456023651,0.5236511456023651,q20-40,,q20-40,,,,q20-40,,,,,,,,,,,,,
131,mean_area:q20-40  mean_concave_points:q00-20  mean_radius:q20-40,28,-0.3550963823607077,0.5398072352785847,0.5398072352785847,q20-40,,q00-20,,,,q20-40,,,,,,,,,,,,,
132,mean_area:q40-60  mean_concave_points:q60-80  mean_radius:q40-60,21,0.6458116093152589,-0.46897810218978103,-0.46897810218978103,q40-60,,q60-80,,,,q40-60,,,,,,,,,,,,,
133,mean_area:q40-60  mean_concave_points:q40-60  mean_radius:q40-60,33,0.2901967435549525,0.36007462686567165,0.36007462686567165,q40-60,,q40-60,,,,q40-60,,,,,,,,,,,,,
134,mean_area:q40-60  mean_concave_points:q20-40  mean_radius:q40-60,31,-0.1274733181436623,0.4795539033457249,0.4795539033457249,q40-60,,q20-40,,,,q40-60,,,,,,,,,,,,,
135,mean_area:q40-60  mean_concave_points:q00-20  mean_radius:q40-60,22,-0.19793917234502242,0.5393053016453382,0.5393053016453382,q40-60,,q00-20,,,,q40-60,,,,,,,,,,,,,
136,mean_area:q60-80  mean_concave_points:q80-100  mean_radius:q60-80,29,-0.14955300127713922,-0.6988505747126437,-0.6988505747126437,q60-80,,q80-100,,,,q60-80,,,,,,,,,,,,,
