,description,size,kolmogorov_smirnoff_confidence_score_statistic,kolmogorov_smirnoff_malignancy_score_statistic,kolmogorov_smirnoff_outlier_score_statistic,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,worst_area,worst_compactness,worst_concave_points,worst_concavity,worst_fractal_dimension,worst_perimeter,worst_radius,worst_smoothness,worst_symmetry,worst_texture
0,mean_area:q80-100  mean_compactness:q80-100  mean_concave_points:q80-100,44,-0.41805194805194806,-0.780952380952381,-0.780952380952381,q80-100,q80-100,q80-100,,,,,,,,,,,,,,,,,
1,mean_area:q80-100  mean_compactness:q60-80  mean_concave_points:q80-100,24,-0.3948012232415902,-0.7863914373088685,-0.7863914373088685,q80-100,q60-80,q80-100,,,,,,,,,,,,,,,,,
2,mean_area:q00-20  mean_compactness:q00-20  mean_concave_points:q00-20,38,-0.3032510655168996,0.5913866587372386,0.5913866587372386,q00-20,q00-20,q00-20,,,,,,,,,,,,,,,,,
3,mean_area:q20-40  mean_compactness:q00-20  mean_concave_points:q00-20,21,-0.3448905109489051,0.5291970802919708,0.5291970802919708,q20-40,q00-20,q00-20,,,,,,,,,,,,,,,,,
4,mean_area:q60-80  mean_compactness:q80-100  mean_concave_points:q80-100,28,0.1542117771322947,-0.6962635331396884,-0.6962635331396884,q60-80,q80-100,q80-100,,,,,,,,,,,,,,,,,
5,mean_area:q80-100  mean_compactness:q80-100  mean_concavity:q80-100,46,-0.4271759913542273,-0.7839388145315488,-0.7839388145315488,q80-100,q80-100,,q80-100,,,,,,,,,,,,,,,,
6,mean_area:q80-100  mean_compactness:q60-80  mean_concavity:q60-80,25,-0.34316176470588233,-0.7610294117647058,-0.7610294117647058,q80-100,q60-80,,q60-80,,,,,,,,,,,,,,,,
7,mean_area:q00-20  mean_compactness:q00-20  mean_concavity:q00-20,34,-0.2976910390324354,0.5836723474436504,0.5836723474436504,q00-20,q00-20,,q00-20,,,,,,,,,,,,,,,,
8,mean_area:q20-40  mean_compactness:q20-40  mean_concavity:q20-40,25,-0.35463235294117645,0.6318382352941176,0.6318382352941176,q20-40,q20-40,,q20-40,,,,,,,,,,,,,,,,
9,mean_area:q20-40  mean_compactness:q00-20  mean_concavity:q00-20,24,-0.3467889908256881,0.5321100917431193,0.5321100917431193,q20-40,q00-20,,q00-20,,,,,,,,,,,,,,,,
10,mean_area:q60-80  mean_compactness:q80-100  mean_concavity:q80-100,29,0.1648786717752235,-0.6988505747126437,-0.6988505747126437,q60-80,q80-100,,q80-100,,,,,,,,,,,,,,,,
