,description,size,specificity,AUC_LB,fp,pn,fn,pp,ConfusionMatrix,tn,p,sensitivity_UB,tp,specificity_LB,AUC,n,sensitivity_LB,sensitivity,AUC_UB,specificity_UB,degree,Hispanic,age_first_child,age_group,bmi,density,ethnicity,hrt,lastmamm,menopause,nrelbc,rstproc,surgmeno,specificity_CI_diff,AUC_CI_diff,sensitivity_CI_diff
0,Hispanic:no,160889,0.6990177310528793,0.7318493532750289,47954,111707,336,49182,True,111371,1564,0.8052900983263537,1228,0.6967587150600721,0.7420919857310432,159325,0.7639661259158048,0.7851662404092071,0.7523346181870577,0.7012695030163051,1,no,,,,,,,,,,,,0.015559441586166733,-0.012677165594308426,-0.045619165489505176
1,Hispanic:yes,14363,0.9408230280164885,0.7231849571021143,847,13484,18,879,True,13466,50,0.7708429331794127,32,0.9368320552293856,0.7904115140082443,14313,0.4919313522854438,0.64,0.857638070914374,0.9446336092241697,1,yes,,,,,,,,,,,,-0.2278046646216979,-0.11798061832162476,-0.011172000342564159
2,age_first_child:<30,129373,0.6734090749592571,0.7180518238065772,41883,86601,241,42772,True,86360,1130,0.8102798991142567,889,0.6708345908351345,0.7300673693380356,128243,0.7616688199835077,0.7867256637168142,0.7420829148694941,0.6759757160924221,1,,<30,,,,,,,,,,,0.04085322851004969,-0.002425462276744783,-0.050608966277408185
3,age_first_child:Nulliparous,29087,0.8437489120217248,0.7994195241934845,4488,24309,74,4778,True,24235,364,0.836861167970228,290,0.8394977186160181,0.8202261043625106,28723,0.7516427897329616,0.7967032967032966,0.8410326845315368,0.8479304520928601,1,,Nulliparous,,,,,,,,,,,-0.1311015074903883,-0.1013752319387875,-0.07719023513337953
4,age_first_child:>=30,16792,0.854246641074856,0.7224618117301976,2430,14281,39,2511,True,14242,120,0.7576549299334755,81,0.8487987060666469,0.7646233205374281,16672,0.5834727542807268,0.675,0.8067848293446583,0.8595706791068618,1,,>=30,,,,,,,,,,,-0.14274173450438998,-0.06712737675190905,0.0020160029033730043
5,age_group:45-49,13200,0.8779109719783157,0.8494461414765202,1599,11510,12,1690,True,11498,103,0.9383290232765915,91,0.8721817568135152,0.8807030588046919,13097,0.8053312964778071,0.883495145631068,0.9119599761328634,0.883471672814152,1,,,45-49,,,,,,,,,,-0.16664272821168014,-0.1723025235401141,-0.178658090439743
6,age_group:60-64,26710,0.6120332738253504,0.7120853124874333,10214,16171,58,10539,True,16113,383,0.8829565465329464,325,0.6061160170510325,0.7302986212468789,26327,0.8086756523257103,0.8485639686684073,0.7485119300063245,0.6179257934850195,1,,,60-64,,,,,,,,,,0.09890315111745229,-0.008854477413575257,-0.12328561369609792
7,age_group:50-54,33496,0.7718270068824572,0.7684077456579486,7592,25722,41,7774,True,25681,223,0.8647123036145359,182,0.7672792142691358,0.7939852523201525,33273,0.7589579996798378,0.8161434977578476,0.8195627589823562,0.7763273021207298,1,,,50-54,,,,,,,,,,-0.05949835751825794,-0.07990530638960691,-0.10504137077768738
8,age_group:70-74,19404,0.7723357891459998,0.6161858453998377,4388,14945,59,4459,True,14886,130,0.6336351189017208,71,0.7663491329153986,0.6592448176499228,19274,0.4565225848163255,0.5461538461538461,0.7023037899000082,0.7782401855942697,1,,,70-74,,,,,,,,,,-0.061411240991797844,0.037353662692741096,0.12603581393512775
9,age_group:55-59,38174,0.6708650190114068,0.6973609403518731,12465,25476,69,12698,True,25407,302,0.8176608090511776,233,0.6661063202497898,0.721194098909677,37872,0.7199709052183747,0.7715231788079471,0.7450272574674809,0.6755975060520499,1,,,55-59,,,,,,,,,,0.041231438550421884,-0.0053698048747315985,-0.05798987621432905
10,age_group:75-79,15164,0.7391478029294274,0.6751770217604462,3918,11147,45,4017,True,11102,144,0.7620797237935774,99,0.7320463827935484,0.7133239014647137,15020,0.605018046044786,0.6875,0.7514707811689811,0.7461564875056158,1,,,75-79,,,,,,,,,,-0.029327542903143988,-0.011813328576231852,-0.002408790956728857
11,age_group:80-84,6744,0.7822508231068542,0.6978355941676332,1455,5244,17,1500,True,5227,62,0.8314570550700291,45,0.7721582272584138,0.7540286373598787,6682,0.5976838425949598,0.7258064516129032,0.8102216805521242,0.7920965146650286,1,,,80-84,,,,,,,,,,-0.0752675700625568,-0.07056422795937489,-0.0717861222331806
12,age_group:65-69,22360,0.6754628162766487,0.7143156417265463,7170,14976,53,7384,True,14923,267,0.8476287588134175,214,0.6692435874189321,0.7384804718087363,22093,0.7485370577324209,0.8014981273408239,0.7626453018909266,0.6816358516939839,1,,,65-69,,,,,,,,,,0.03519309290848793,-0.02298784929817732,-0.08795782597656898
13,"bmi:[25,30[",74102,0.7130963249621868,0.7366311667410738,21055,52482,150,21620,True,52332,715,0.8195052937764726,565,0.7098086245458791,0.7516530575859884,73387,0.7584975958323478,0.7902097902097902,0.7666749484309033,0.7163671707247462,1,,,,"[25,30[",,,,,,,,,0.00046177387772561307,-0.02701749583815405,-0.05983436093962413
14,"bmi:[30,35[",57418,0.6722624148345859,0.7021031859494681,18664,38392,108,19026,True,38284,470,0.807508008253823,362,0.6683897791433929,0.7212375903960164,56948,0.7294786755199375,0.7702127659574468,0.7403719948425648,0.6761174880907899,1,,,,"[30,35[",,,,,,,,,0.040711456511681954,-0.0007145422498154863,-0.04783707541697446
15,bmi:>=35,27744,0.7717462632154575,0.764957410317425,6261,21231,62,6513,True,21169,314,0.8451323370880843,252,0.7667325412357386,0.7871470169580472,27430,0.7541509760551603,0.802547770700637,0.8093366235986694,0.7767023622341569,1,,,,>=35,,,,,,,,,-0.05987341763168508,-0.06967917100592014,-0.08546140425123583
16,bmi:4,15988,0.8222768222768223,0.7213227411245289,2821,13086,34,2902,True,13052,115,0.785794111020187,81,0.8162394143270371,0.7633123241818894,15873,0.6120666118999146,0.7043478260869566,0.8053019072392498,0.8281958882461283,1,,,,4,,,,,,,,,-0.11136694364365651,-0.06564445464650048,-0.026123178183338536
17,density:4,9396,0.8876827171109201,0.6922800422282624,1045,8296,37,1100,True,8259,92,0.6987693757470126,55,0.8810912212690221,0.7427544020337209,9304,0.4904039577460732,0.5978260869565217,0.7932287618391793,0.8940303796219029,1,,,,,4,,,,,,,,-0.17720143501943109,-0.053571309246430054,0.06090155708983591
18,density:2,81923,0.7303232628770273,0.7253331346126458,21932,59541,146,22382,True,59395,596,0.7890639936297089,450,0.7272588637626548,0.7426784099620035,81327,0.7184535883913272,0.7550335570469798,0.7600236853113614,0.733371224751714,1,,,,,2,,,,,,,,-0.016542280149242194,-0.020366232718612154,-0.029393060792860415
19,density:3,67868,0.6288124206911995,0.7139514464302842,24864,42276,155,25592,True,42121,883,0.8490044960595069,728,0.6251408256158771,0.7266372409231763,66985,0.7977332998959188,0.8244620611551529,0.7393230354160681,0.6324728543725885,1,,,,,3,,,,,,,,0.08435609022988333,0.00033441717668114546,-0.0893335632226584
20,density:1,16065,0.9400823867182624,0.7108800887295658,960,15078,16,987,True,15062,43,0.7702483037007124,27,0.936295630276219,0.7839946817312242,16022,0.46725094541449996,0.627906976744186,0.8571092747328825,0.9437083761039746,1,,,,,1,,,,,,,,-0.2268794315015028,-0.11745182214013317,-0.0105773708638639
21,ethnicity:white,160493,0.6953759043724441,0.7314641508761789,48420,110857,327,49636,True,110530,1543,0.8082268058547751,1216,0.6931065998871913,0.7417255412983413,158950,0.766821271594815,0.7880751782242384,0.7519869317205038,0.6976380806389755,1,,,,,,white,,,,,,,0.01919086396349634,-0.012329479127754506,-0.04855587301792663
22,ethnicity:Native_American,1713,1.0,,0,1713,3,0,True,1710,3,0.7075982261787133,0,0.9978450857219917,,1710,0.0,0.0,,1.0,1,,,,,,Native_American,,,,,,,-0.2831710553975282,,0.05207270665813524
