,description,size,specificity,AUC_LB,fp,pn,fn,pp,ConfusionMatrix,tn,p,sensitivity_UB,tp,specificity_LB,AUC,n,sensitivity_LB,sensitivity,AUC_UB,specificity_UB,degree,Hispanic,age_first_child,age_group,bmi,density,ethnicity,hrt,lastmamm,menopause,nrelbc,rstproc,surgmeno,specificity_CI_diff,AUC_CI_diff,sensitivity_CI_diff
23,ethnicity:black,3880,0.9906784049715174,0.7166186024349639,36,3832,6,48,True,3826,18,0.8665725974936761,12,0.9871181291744502,0.828672535819092,3862,0.4099252381720744,0.6666666666666666,0.94072646920322,0.9934629706291602,1,,,,,,black,,,,,,,-0.2766340260266884,-0.20106901661047072,-0.1069016646568276
24,ethnicity:Asian/Pacific_Islander,6619,0.9521857923497268,0.6780894815127765,315,6286,13,333,True,6273,31,0.7545240492613491,18,0.9467537207865596,0.7664154768200246,6588,0.3907592224920667,0.5806451612903226,0.854741472127273,0.9572129334083606,1,,,,,,Asian/Pacific_Islander,,,,,,,-0.24038398880588874,-0.11508401953452374,0.005146883575499417
25,ethnicity:other/mixed,2547,0.9881329113924051,0.7607524167877316,30,2503,5,44,True,2498,19,0.9085342150927965,14,0.9831020203668641,0.8624875083277815,2528,0.48797065465412726,0.7368421052631579,0.9642225998678314,0.9919793950169885,1,,,,,,other/mixed,,,,,,,-0.2751504504145167,-0.22456514727508214,-0.14886328225594803
26,hrt:no,92618,0.741751545225037,0.7303699624686756,23732,68344,180,24274,True,68164,722,0.7818628591645277,542,0.7389087534821004,0.7462220330003301,91896,0.7174586075451433,0.7506925207756233,0.7620741035319846,0.7445790702371382,1,,,,,,,no,,,,,,-0.02775012563466639,-0.022416650939235283,-0.02219192632767919
27,hrt:yes,82634,0.6933155538156639,0.736019262339752,25069,56847,174,25787,True,56673,892,0.8304554957310655,718,0.6901415276804426,0.7491241446208364,81742,0.7773785177280357,0.804932735426009,0.7622290269019211,0.6964758553052777,1,,,,,,,yes,,,,,,0.02035308929719415,-0.022571574309171782,-0.07078456289421697
28,lastmamm:negative,171292,0.7126938013046783,0.7377092870065416,48755,121288,346,50004,True,120942,1595,0.8030766415742389,1249,0.7105342790392086,0.747882950809079,169697,0.7620202294641519,0.7830721003134796,0.7580566146116163,0.7148460551674137,1,,,,,,,,negative,,,,,0.0019828894350580883,-0.018399162018867043,-0.04340570873739036
29,lastmamm:false_positive,3960,0.9883278355747273,0.6695820266002402,46,3903,8,57,True,3895,19,0.7974785610223619,11,0.9844613491728275,0.7836376019978899,3941,0.33499784401173177,0.5789473684210527,0.8976931773955396,0.991442184194295,1,,,,,,,,false_positive,,,,,-0.27461323959182316,-0.15803572480279027,-0.03780762818551342
30,menopause:postmenopausal_or_age_>=_55,175252,0.718949769059768,0.7396574525927493,48801,125191,354,50061,True,124837,1614,0.8006413315839374,1260,0.7168289446024718,0.7498094570205903,173638,0.7596709328368485,0.7806691449814126,0.7599614614484316,0.7210632812117445,1,,,,,,,,,postmenopausal_or_age_>=_55,,,,-0.0042343366092726376,-0.020304008855682287,-0.040970398747088854
31,nrelbc:0,144698,0.6951505179938371,0.7389439422269384,43727,99957,246,44741,True,99711,1260,0.8263141758860274,1014,0.692760795787393,0.749956211377871,143438,0.7817778181564936,0.8047619047619048,0.7609684805288033,0.6975323494643529,1,,,,,,,,,,0,,,0.019296595138118877,-0.021311027936053994,-0.0666432430491789
32,nrelbc:1,27504,0.817008128885129,0.7299988770169409,4975,22309,97,5195,True,22212,317,0.7442886804226619,220,0.8123597703123846,0.755507219016697,27187,0.6400546475188905,0.694006309148265,0.781015561016453,0.8215886365027386,1,,,,,,,,,,1,,,-0.1047596919002668,-0.04135810842370369,0.015382252414186559
33,nrelbc:>=2,3050,0.9671423830069698,0.7602015612322998,99,2925,11,125,True,2914,37,0.8412745636203715,26,0.9601407594406504,0.8349225428548362,3013,0.5302004650059331,0.7027027027027027,0.909643524477373,0.9732164090320895,1,,,,,,,,,,>=2,,,-0.2563874644296177,-0.16998607188462367,-0.08160363078352295
34,rstproc:no,133913,0.6924987954709708,0.7275993079409545,40846,92216,230,41697,True,91986,1081,0.8112852066246992,851,0.6900092612446745,0.7398664190120813,132832,0.7616086055226371,0.7872340425531915,0.7521335300832078,0.6949799241155182,1,,,,,,,,,,,no,,0.021849020486953585,-0.012476077490458537,-0.05161427378785066
35,rstproc:yes,41339,0.8050531784541489,0.7681495197879121,7955,32975,124,8364,True,32851,533,0.8025962103977823,409,0.8011755148283289,0.7862038875385191,40806,0.7291183281607376,0.7673545966228893,0.8042582552891261,0.8088873869424796,1,,,,,,,,,,,yes,,-0.09205844234000782,-0.0646008026963768,-0.04292527756093378
36,surgmeno:yes,40673,0.755862137415945,0.7322238720928146,9839,30554,92,10119,True,30462,372,0.7957126231612648,280,0.7516373810107397,0.7542751547294778,40301,0.7055905912991852,0.7526881720430108,0.7763264373661413,0.7600500004581733,1,,,,,,,,,,,,yes,-0.04322105585570146,-0.03666898477339198,-0.03604169032441629
37,surgmeno:no,98626,0.6482752263509362,0.7142273169104325,34341,63488,193,35138,True,63295,990,0.8292966840332323,797,0.645270545877668,0.7266628657007206,97636,0.7789754712304469,0.805050505050505,0.7390984144910087,0.6512710961287177,1,,,,,,,,,,,,no,0.06555784847375412,0.0005590381017406276,-0.06962575119638381
38,surgmeno:9,35953,0.8705638497521078,0.7707399486873814,4621,31149,69,4804,True,31080,252,0.7802758039235758,183,0.86703762784028,0.798377162971292,35701,0.6666976762442597,0.7261904761904762,0.8260143772552027,0.8740296702940022,1,,,,,,,,,,,,9,-0.15720072569153043,-0.08635692466245337,-0.02060487108672726
